antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Hitter_Types_Hitters With Good Contact', 'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)'})",frozenset({'events_single'}),0.09926718734933951,0.4206441037508437,0.04951306527817954,0.4987858183584264,1.1857668131106567,1.0,0.007756908223749526,1.1559048356366401,0.1739293426361544,0.10525776365686174,0.13487687812186736,0.3082467773740556
frozenset({'Hitter_Types_Hitters With Good Contact'}),frozenset({'events_single'}),0.17457332947642465,0.4206441037508437,0.0849484138463022,0.48660590996962166,1.156811436629214,1.0,0.011515172129890797,1.1284818183529826,0.16422401388103539,0.16647770219198788,0.11385368932261732,0.3442771670191948
"frozenset({'impact_archetype_Four-Seam Aces (Elite FF Impact)', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_single'}),0.05679298042618841,0.4206441037508437,0.02632340179346254,0.4634974533106961,1.1018755503232616,1.0,0.002433769442749305,1.0798753888947883,0.09802354328013695,0.05835203590894517,0.07396722780814328,0.2630381249361503
"frozenset({'Hitter_Types_Hitters With Good Contact', 'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)'})",frozenset({'events_single'}),0.027962587985729436,0.4206441037508437,0.012872432745154759,0.46034482758620693,1.094380792411817,1.0,0.0011101349833434904,1.0735668365000341,0.08872217435773985,0.029541934056207125,0.06852562318324905,0.24547327339195732
frozenset({'impact_archetype_Sinker Liability Pitchers (Sinker Gets Crushed)'}),frozenset({'events_single'}),0.07115996528782181,0.4206441037508437,0.03148201716324366,0.4424119241192412,1.051748782817341,1.0,0.0015489973418067078,1.0390392501382197,0.05297210059410063,0.06839128613322162,0.03757244986945996,0.258627165498016
frozenset({'impact_archetype_Sinker Aces (Elite Sinker Impact)'}),frozenset({'events_single'}),0.034085430527432264,0.4206441037508437,0.014945521164786424,0.43847241867043846,1.0423833705515455,1.0,0.0006076857896130314,1.0317496691389259,0.042094882342996506,0.033983775487831616,0.030772647754201066,0.23700125231516192
frozenset({'impact_archetype_Four-Seam Aces (Elite FF Impact)'}),frozenset({'events_single'}),0.11141644971555298,0.4206441037508437,0.04874168354064218,0.4374729554305496,1.0400073400046372,1.0,0.001875010906942448,1.029916520178308,0.043291736211209596,0.10084788029925187,0.029047519475780926,0.2766734404659911
"frozenset({'impact_archetype_Sinker Liability Pitchers (Sinker Gets Crushed)', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_single'}),0.03504965769935397,0.4206441037508437,0.015234789316362934,0.43466299862448415,1.033327211171238,1.0,0.0004913574666443252,1.024797412586707,0.03342382453666067,0.03458844133099824,0.024197380167183993,0.23544038183373206
frozenset({'Hitter_Types_Balanced Hitters'}),frozenset({'events_single'}),0.49556455500916013,0.4206441037508437,0.2113103847266416,0.42640334662904955,1.0136914860492545,1.0,0.0028540766341277335,1.0100405796379033,0.026775598919033382,0.2997742972436906,0.009940768559519473,0.4643764584148113
"frozenset({'impact_archetype_Sinker Liability Pitchers (Sinker Gets Crushed)', 'Hitter_Types_Power Hitters'})",frozenset({'events_single'}),0.023864622505062192,0.4206441037508437,0.010076173946581815,0.4222222222222223,1.0037516714422159,1.0,3.766120158771487e-05,1.0027313588927707,0.003829027302290459,0.023193874153812008,0.002723918892679886,0.223088188475008
"frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_single'}),0.28550766560601676,0.4206441037508437,0.12023912833863658,0.42114150624788926,1.0011824782342371,1.0,0.0001420122257980716,1.0008592816766346,0.0016530361125811175,0.20521681889245455,0.0008585439455537014,0.3534933892270965
frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)'}),frozenset({'events_single'}),0.5747276058239321,0.4206441037508437,0.24057467939446534,0.418589044543243,0.9951144942024007,1.0,-0.001181099258210777,0.9964653930437443,-0.011412593864539146,0.31872764435360246,-0.003547144718653025,0.495254407658441
"frozenset({'Hitter_Types_Balanced Hitters', 'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)'})",frozenset({'events_single'}),0.07506508533410472,0.4206441037508437,0.03128917172885932,0.4168272318561335,0.9909261252905354,1.0,-0.0002865138144857657,0.9934549894933218,-0.009803065482922061,0.06737257344544793,-0.006588129886001402,0.24560559300543067
frozenset({'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)'}),frozenset({'events_single'}),0.15524057467939448,0.4206441037508437,0.06383183878121686,0.41118012422360245,0.9775012190998237,1.0,-0.0014691936205629558,0.9839272077649172,-0.02652369454857965,0.12465869503813203,-0.01633534687143532,0.2814639876132339
frozenset({'impact_archetype_Slider Aces (Elite Slider Impact)'}),frozenset({'events_single'}),0.05336997396586636,0.4206441037508437,0.02106836370648925,0.3947606142728094,0.9384670098849985,1.0,-0.0013814011595884683,0.9572342942504717,-0.06477742986889336,0.04651410324640766,-0.04467632010929415,0.22242328707909811
"frozenset({'impact_archetype_Slider Aces (Elite Slider Impact)', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_single'}),0.026275190434866456,0.4206441037508437,0.010076173946581815,0.3834862385321101,0.9116643621355905,1.0,-0.000976329984775327,0.9397290579041374,-0.09050357449118988,0.02306588676746496,-0.06413650997478341,0.20372019662995192
frozenset({'Hitter_Types_Power Hitters'}),frozenset({'events_single'}),0.3298621155144152,0.4206441037508437,0.12438530517789992,0.3770827243496054,0.8964412456687123,1.0,-0.014369248764018544,0.9300687569537135,-0.14703826387965588,0.19866019866019866,-0.07518932608308941,0.3363923650401322
"frozenset({'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)', 'Hitter_Types_Power Hitters'})",frozenset({'events_single'}),0.05221290135956031,0.4206441037508437,0.019670234307202775,0.3767313019390581,0.895605806856154,1.0,-0.0022928147894206823,0.9295443490930907,-0.10951537034748787,0.04340425531914893,-0.07579590040609609,0.21174673979474395
"frozenset({'impact_archetype_Four-Seam Aces (Elite FF Impact)', 'Hitter_Types_Power Hitters'})",frozenset({'events_single'}),0.03456754411339311,0.4206441037508437,0.013017066820943014,0.3765690376569038,0.8952200549088251,1.0,-0.0015235667915029852,0.9293024107620694,-0.10812596344417524,0.029437418229393802,-0.07607597744199897,0.20375729819807942
"frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)', 'Hitter_Types_Power Hitters'})",frozenset({'events_single'}),0.18995275286857582,0.4206441037508437,0.07082248577764921,0.3728426395939087,0.8863612642357426,1.0,-0.009080019707758374,0.9237807491791484,-0.1366452548984492,0.13120757413361914,-0.08250794454049651,0.27060470088577954
"frozenset({'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)', 'Hitter_Types_Power Hitters'})",frozenset({'events_walk'}),0.05221290135956031,0.24423874264776782,0.014559830296017743,0.2788550323176362,1.1417313620869345,1.0,0.001807416917966806,1.0480018459826728,0.13097585353455232,0.05165041901829998,0.04580320747208534,0.16923406965269888
"frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)', 'Hitter_Types_Power Hitters'})",frozenset({'events_walk'}),0.18995275286857582,0.24423874264776782,0.052309324076752484,0.2753807106598985,1.1275062575024901,1.0,0.005915502553649352,1.042977006643711,0.13960539040502642,0.1369776543365737,0.04120609214771718,0.2447768140745209
