pitcher,season,ground,fly,line,bip,GB_percent,FB_percent,LD_percent
hallb108,1911,4,7,1,57,0.07017543859649122,0.12280701754385964,0.017543859649122806
hallc103,1911,47,58,20,478,0.09832635983263599,0.12133891213389121,0.04184100418410042
hamie101,1911,63,73,14,649,0.0970724191063174,0.11248073959938366,0.02157164869029276
harks101,1911,12,23,4,175,0.06857142857142857,0.13142857142857142,0.022857142857142857
harmb101,1911,118,114,28,1123,0.10507569011576136,0.10151380231522707,0.024933214603739984
harpb101,1911,1,1,0,25,0.04,0.04,0.0
hawke101,1911,13,16,2,137,0.0948905109489051,0.11678832116788321,0.014598540145985401
hearb102,1911,2,0,1,12,0.16666666666666666,0.0,0.08333333333333333
hendc101,1911,46,21,4,381,0.12073490813648294,0.05511811023622047,0.010498687664041995
hoffr102,1911,11,18,4,71,0.15492957746478872,0.2535211267605634,0.056338028169014086
hoggb102,1911,11,17,3,93,0.11827956989247312,0.1827956989247312,0.03225806451612903
hovlj101,1911,18,12,3,154,0.11688311688311688,0.07792207792207792,0.01948051948051948
hught103,1903,0,0,0,10,0.0,0.0,0.0
hught103,1911,97,65,12,803,0.12079701120797011,0.08094645080946451,0.014943960149439602
humpb101,1911,46,56,12,377,0.1220159151193634,0.14854111405835543,0.03183023872679045
jameb103,1911,24,13,5,190,0.12631578947368421,0.06842105263157895,0.02631578947368421
johnw102,1911,114,91,20,1042,0.10940499040307101,0.0873320537428023,0.019193857965451054
juulh102,1911,0,0,0,13,0.0,0.0,0.0
kahlg101,1911,48,61,21,505,0.09504950495049505,0.12079207920792079,0.041584158415841586
karge101,1911,40,54,10,476,0.08403361344537816,0.1134453781512605,0.02100840336134454
keefb101,1911,73,84,12,763,0.09567496723460026,0.11009174311926606,0.015727391874180863
kennb101,1903,6,6,0,32,0.1875,0.1875,0.0
kille101,1907,1,6,0,14,0.07142857142857142,0.42857142857142855,0.0
kille101,1908,1,1,0,11,0.09090909090909091,0.09090909090909091,0.0
killj101,1911,25,25,6,214,0.11682242990654206,0.11682242990654206,0.028037383177570093
klepe101,1911,1,5,1,16,0.0625,0.3125,0.0625
knete101,1911,70,106,8,697,0.10043041606886657,0.15208034433285508,0.011477761836441894
krapg101,1911,69,68,16,712,0.09691011235955056,0.09550561797752809,0.02247191011235955
krauh101,1911,40,63,7,557,0.0718132854578097,0.11310592459605028,0.012567324955116697
lafie101,1911,84,93,18,653,0.12863705972434916,0.14241960183767227,0.027565084226646247
lakej101,1911,87,39,18,830,0.10481927710843374,0.046987951807228916,0.021686746987951807
langf101,1911,52,85,13,498,0.10441767068273092,0.1706827309236948,0.02610441767068273
leevs101,1903,7,3,1,42,0.16666666666666666,0.07142857142857142,0.023809523809523808
leifl101,1909,8,1,1,19,0.42105263157894735,0.05263157894736842,0.05263157894736842
leifl101,1911,119,85,20,1078,0.11038961038961038,0.07884972170686456,0.01855287569573284
leone101,1911,5,3,0,76,0.06578947368421052,0.039473684210526314,0.0
livej101,1911,44,47,14,437,0.10068649885583524,0.10755148741418764,0.032036613272311214
longl101,1911,2,0,0,33,0.06060606060606061,0.0,0.0
lowdg101,1911,22,6,2,118,0.1864406779661017,0.05084745762711865,0.01694915254237288
lowdl101,1911,30,32,10,231,0.12987012987012986,0.13852813852813853,0.04329004329004329
maddn101,1909,5,7,2,35,0.14285714285714285,0.2,0.05714285714285714
marqr102,1911,101,146,21,827,0.12212817412333736,0.17654171704957677,0.02539298669891173
martd101,1911,12,10,3,128,0.09375,0.078125,0.0234375
mathc102,1905,19,4,3,74,0.25675675675675674,0.05405405405405406,0.04054054054054054
mathc102,1911,163,109,33,1144,0.14248251748251747,0.09527972027972027,0.028846153846153848
matta101,1911,67,52,14,680,0.09852941176470588,0.07647058823529412,0.020588235294117647
maxwb101,1911,15,11,1,114,0.13157894736842105,0.09649122807017543,0.008771929824561403
mcadj101,1911,4,5,1,30,0.13333333333333333,0.16666666666666666,0.03333333333333333
mccld101,1903,2,1,0,32,0.0625,0.03125,0.0
mcgij101,1905,8,12,3,56,0.14285714285714285,0.21428571428571427,0.05357142857142857
mcham101,1911,3,1,1,43,0.06976744186046512,0.023255813953488372,0.023255813953488372
mcinh101,1910,4,2,0,15,0.26666666666666666,0.13333333333333333,0.0
mcinh101,1911,48,38,7,524,0.0916030534351145,0.07251908396946564,0.013358778625954198
mcqug103,1911,21,22,3,288,0.07291666666666667,0.0763888888888889,0.010416666666666666
mctib101,1911,13,6,1,113,0.11504424778761062,0.05309734513274336,0.008849557522123894
millw105,1911,3,12,2,43,0.06976744186046512,0.27906976744186046,0.046511627906976744
mitcc102,1911,5,6,0,54,0.09259259259259259,0.1111111111111111,0.0
mitcr101,1911,45,52,12,481,0.09355509355509356,0.10810810810810811,0.02494802494802495
mitcw101,1911,61,69,15,628,0.09713375796178345,0.10987261146496816,0.02388535031847134
mogrg101,1911,4,5,0,44,0.09090909090909091,0.11363636363636363,0.0
moore103,1911,113,158,36,950,0.11894736842105263,0.16631578947368422,0.037894736842105266
morgc102,1911,79,40,7,798,0.09899749373433583,0.05012531328320802,0.008771929824561403
mosew102,1911,18,13,1,120,0.15,0.10833333333333334,0.008333333333333333
mullg102,1907,6,5,3,57,0.10526315789473684,0.08771929824561403,0.05263157894736842
mullg102,1908,5,3,0,24,0.20833333333333334,0.125,0.0
mullg102,1909,14,11,3,101,0.13861386138613863,0.10891089108910891,0.0297029702970297
mullg102,1911,109,106,26,841,0.12960760998810938,0.12604042806183116,0.030915576694411414
naglj101,1911,18,22,6,189,0.09523809523809523,0.1164021164021164,0.031746031746031744
nelsr104,1911,42,41,3,309,0.13592233009708737,0.13268608414239483,0.009708737864077669
obrib101,1911,19,19,2,140,0.1357142857142857,0.1357142857142857,0.014285714285714285
olmsf101,1911,48,37,5,446,0.10762331838565023,0.08295964125560538,0.011210762331838564
oteyb101,1911,21,27,4,201,0.1044776119402985,0.13432835820895522,0.01990049751243781
otoom101,1911,10,2,1,98,0.10204081632653061,0.02040816326530612,0.01020408163265306
overo101,1906,3,7,1,37,0.08108108108108109,0.1891891891891892,0.02702702702702703
overo101,1907,11,5,2,57,0.19298245614035087,0.08771929824561403,0.03508771929824561
overo101,1908,4,6,1,46,0.08695652173913043,0.13043478260869565,0.021739130434782608
overo101,1910,1,0,1,12,0.08333333333333333,0.0,0.08333333333333333
ovite101,1911,2,0,0,9,0.2222222222222222,0.0,0.0
owenf102,1906,2,5,1,21,0.09523809523809523,0.23809523809523808,0.047619047619047616
paigp101,1911,4,0,0,57,0.07017543859649122,0.0,0.0
papel101,1911,82,27,18,599,0.13689482470784642,0.045075125208681135,0.03005008347245409
parsj102,1911,7,6,3,95,0.07368421052631578,0.06315789473684211,0.031578947368421054
peltb101,1911,60,67,23,716,0.08379888268156424,0.0935754189944134,0.03212290502793296
perdh101,1911,56,58,15,526,0.10646387832699619,0.11026615969581749,0.028517110266159697
pfeff102,1911,36,40,7,375,0.096,0.10666666666666667,0.018666666666666668
pfefj101,1911,2,2,0,35,0.05714285714285714,0.05714285714285714,0.0
pfiej101,1906,3,5,0,27,0.1111111111111111,0.18518518518518517,0.0
pfiej101,1907,7,4,2,29,0.2413793103448276,0.13793103448275862,0.06896551724137931
pfiej101,1908,3,5,1,33,0.09090909090909091,0.15151515151515152,0.030303030303030304
pfiej101,1910,7,3,1,29,0.2413793103448276,0.10344827586206896,0.034482758620689655
pfiej101,1911,16,13,1,117,0.13675213675213677,0.1111111111111111,0.008547008547008548
phild101,1903,22,21,1,152,0.14473684210526316,0.13815789473684212,0.006578947368421052
phild101,1909,2,1,0,20,0.1,0.05,0.0
phild101,1911,0,1,0,20,0.0,0.05,0.0
plane101,1905,9,7,2,55,0.16363636363636364,0.12727272727272726,0.03636363636363636
plane101,1911,72,91,14,845,0.08520710059171598,0.1076923076923077,0.016568047337278107
powej105,1911,51,65,23,792,0.06439393939393939,0.08207070707070707,0.02904040404040404
puckt101,1911,2,1,0,8,0.25,0.125,0.0
quinj102,1911,109,69,17,635,0.17165354330708663,0.10866141732283464,0.026771653543307086
rader101,1911,1,4,2,33,0.030303030303030304,0.12121212121212122,0.06060606060606061
ragap101,1911,34,36,3,301,0.11295681063122924,0.11960132890365449,0.009966777408637873
raymb101,1911,31,6,7,273,0.11355311355311355,0.02197802197802198,0.02564102564102564
reisb101,1911,4,10,3,44,0.09090909090909091,0.22727272727272727,0.06818181818181818
reisj101,1911,4,1,0,29,0.13793103448275862,0.034482758620689655,0.0
reule101,1906,9,2,0,34,0.2647058823529412,0.058823529411764705,0.0
reule101,1907,7,4,1,38,0.18421052631578946,0.10526315789473684,0.02631578947368421
reule101,1908,3,3,1,25,0.12,0.12,0.04
reule101,1910,0,0,0,8,0.0,0.0,0.0
reule101,1911,102,63,16,753,0.13545816733067728,0.08366533864541832,0.021248339973439574
richl102,1910,2,0,0,4,0.5,0.0,0.0
richl102,1911,106,93,21,852,0.12441314553990611,0.10915492957746478,0.02464788732394366
richr101,1911,19,14,3,175,0.10857142857142857,0.08,0.017142857142857144
robih102,1911,5,9,0,41,0.12195121951219512,0.21951219512195122,0.0
rowaj101,1911,20,23,4,179,0.11173184357541899,0.12849162011173185,0.0223463687150838
ruckn101,1911,121,138,23,961,0.1259105098855359,0.14360041623309053,0.023933402705515087
rudod101,1911,1,1,0,9,0.1111111111111111,0.1111111111111111,0.0
russl101,1911,12,11,3,128,0.09375,0.0859375,0.0234375
ryanj102,1911,3,2,0,23,0.13043478260869565,0.08695652173913043,0.0
salls101,1911,70,100,19,863,0.08111239860950174,0.11587485515643106,0.0220162224797219
scand101,1911,31,65,5,376,0.08244680851063829,0.17287234042553193,0.013297872340425532
schab102,1911,58,81,15,669,0.08669656203288491,0.1210762331838565,0.02242152466367713
schrb101,1911,5,4,2,41,0.12195121951219512,0.0975609756097561,0.04878048780487805
scotj104,1911,87,63,10,703,0.12375533428165007,0.08961593172119488,0.01422475106685633
sherf101,1911,11,11,5,197,0.05583756345177665,0.05583756345177665,0.025380710659898477
shult101,1911,11,5,1,89,0.12359550561797752,0.056179775280898875,0.011235955056179775
sieve101,1907,0,3,0,18,0.0,0.16666666666666666,0.0
slapc101,1911,11,8,0,83,0.13253012048192772,0.0963855421686747,0.0
smitc107,1911,16,5,1,136,0.11764705882352941,0.03676470588235294,0.007352941176470588
smitf106,1911,84,53,15,657,0.1278538812785388,0.0806697108066971,0.0228310502283105
smitj108,1911,1,4,0,16,0.0625,0.25,0.0
smits102,1911,0,1,0,6,0.0,0.16666666666666666,0.0
stace101,1911,30,44,6,259,0.11583011583011583,0.16988416988416988,0.023166023166023165
stanb102,1911,6,4,0,40,0.15,0.1,0.0
stanp101,1911,3,3,0,20,0.15,0.15,0.0
steeb102,1911,116,68,17,987,0.11752786220871327,0.06889564336372847,0.017223910840932118
steee101,1911,74,70,8,649,0.1140215716486903,0.10785824345146379,0.012326656394453005
suggg101,1911,107,103,28,902,0.11862527716186252,0.11419068736141907,0.031042128603104215
summe101,1908,11,4,1,55,0.2,0.07272727272727272,0.01818181818181818
summe101,1909,3,2,0,31,0.0967741935483871,0.06451612903225806,0.0
summe101,1911,102,67,27,661,0.15431164901664146,0.10136157337367625,0.04084720121028744
swinj101,1911,6,7,2,65,0.09230769230769231,0.1076923076923077,0.03076923076923077
tannj101,1911,1,0,0,20,0.05,0.0,0.0
taylw101,1911,7,2,0,71,0.09859154929577464,0.028169014084507043,0.0
thomb104,1911,3,0,1,13,0.23076923076923078,0.0,0.07692307692307693
thomf101,1911,0,1,1,16,0.0,0.0625,0.0625
thomg103,1903,1,2,0,8,0.125,0.25,0.0
tonef101,1911,33,17,8,219,0.1506849315068493,0.0776255707762557,0.0365296803652968
tylel101,1911,50,76,13,534,0.09363295880149813,0.14232209737827714,0.024344569288389514
vaugh101,1911,71,64,11,502,0.14143426294820718,0.12749003984063745,0.021912350597609563
veilb101,1903,7,2,0,24,0.2916666666666667,0.08333333333333333,0.0
walkd102,1911,62,79,17,673,0.09212481426448738,0.11738484398216939,0.02526002971768202
walse101,1906,4,1,0,38,0.10526315789473684,0.02631578947368421,0.0
walse101,1911,129,96,23,1140,0.11315789473684211,0.08421052631578947,0.02017543859649123
walsj101,1911,1,4,0,12,0.08333333333333333,0.3333333333333333,0.0
warhj101,1911,94,141,25,792,0.11868686868686869,0.17803030303030304,0.03156565656565657
weavo101,1911,62,46,8,568,0.10915492957746478,0.08098591549295775,0.014084507042253521
westh102,1911,39,22,7,244,0.1598360655737705,0.09016393442622951,0.028688524590163935
whitd104,1906,14,5,0,52,0.2692307692307692,0.09615384615384616,0.0
whitd104,1911,77,62,23,754,0.10212201591511937,0.08222811671087533,0.03050397877984085
whitk101,1911,2,1,0,12,0.16666666666666666,0.08333333333333333,0.0
wille103,1909,4,5,3,24,0.16666666666666666,0.20833333333333334,0.125
wille103,1911,100,92,26,842,0.1187648456057007,0.10926365795724466,0.030878859857482184
willj103,1911,9,9,3,80,0.1125,0.1125,0.0375
willv101,1909,4,7,3,37,0.10810810810810811,0.1891891891891892,0.08108108108108109
wilth102,1911,60,87,16,643,0.09331259720062209,0.13530326594090203,0.024883359253499222
wintg101,1908,0,3,0,4,0.0,0.75,0.0
woodg103,1911,21,17,2,115,0.1826086956521739,0.14782608695652175,0.017391304347826087
woodj108,1911,102,74,16,839,0.12157330154946365,0.08820023837902265,0.01907032181168057
workr101,1909,1,1,2,8,0.125,0.125,0.25
workr101,1911,82,73,15,603,0.13598673300165837,0.12106135986733002,0.024875621890547265
yinge101,1911,11,8,2,87,0.12643678160919541,0.09195402298850575,0.022988505747126436
younc102,1903,21,14,4,120,0.175,0.11666666666666667,0.03333333333333333
younc102,1911,39,44,17,449,0.08685968819599109,0.09799554565701558,0.0378619153674833
youni101,1911,34,36,6,335,0.10149253731343283,0.10746268656716418,0.01791044776119403
zackg101,1911,2,8,1,30,0.06666666666666667,0.26666666666666666,0.03333333333333333
zmice101,1911,1,14,1,40,0.025,0.35,0.025
adamb104,1912,60,202,31,589,0.10186757215619695,0.34295415959252973,0.05263157894736842
adamw101,1912,16,28,10,169,0.09467455621301775,0.16568047337278108,0.05917159763313609
akerj101,1912,4,15,1,71,0.056338028169014086,0.2112676056338028,0.014084507042253521
alexg102,1912,115,257,32,973,0.11819116135662898,0.2641315519013361,0.0328879753340185
allef101,1912,58,93,15,373,0.1554959785522788,0.24932975871313673,0.040214477211796246
allim102,1912,69,105,16,620,0.11129032258064517,0.1693548387096774,0.025806451612903226
altrn101,1912,1,3,0,5,0.2,0.6,0.0
amesr101,1912,118,123,27,627,0.18819776714513556,0.19617224880382775,0.0430622009569378
badek101,1912,3,14,0,36,0.08333333333333333,0.3888888888888889,0.0
bagbj101,1912,3,4,0,52,0.057692307692307696,0.07692307692307693,0.0
bailb101,1912,3,12,1,44,0.06818181818181818,0.2727272727272727,0.022727272727272728
bargc101,1912,36,91,11,348,0.10344827586206896,0.2614942528735632,0.031609195402298854
barrh101,1912,3,14,2,52,0.057692307692307696,0.2692307692307692,0.038461538461538464
baskj101,1912,28,94,8,396,0.0707070707070707,0.23737373737373738,0.020202020202020204
baumg101,1912,69,139,29,742,0.09299191374663072,0.18733153638814015,0.03908355795148248
beckc102,1912,3,2,0,28,0.10714285714285714,0.07142857142857142,0.0
bedih101,1912,67,167,31,816,0.0821078431372549,0.20465686274509803,0.03799019607843137
bellr101,1912,1,6,0,19,0.05263157894736842,0.3157894736842105,0.0
bendc101,1912,57,131,21,563,0.10124333925399645,0.23268206039076378,0.037300177619893425
bentr102,1912,122,191,24,1006,0.12127236580516898,0.18986083499005965,0.02385685884691849
benzj101,1912,87,173,28,821,0.10596833130328867,0.21071863580998781,0.0341047503045067
blanf102,1912,88,160,20,922,0.09544468546637744,0.1735357917570499,0.021691973969631236
boehg101,1912,16,14,4,128,0.125,0.109375,0.03125
boehj101,1912,1,4,0,15,0.06666666666666667,0.26666666666666666,0.0
bradb104,1912,1,0,0,4,0.25,0.0,0.0
bradk101,1912,3,1,0,12,0.25,0.08333333333333333,0.0
brena101,1912,65,149,20,610,0.10655737704918032,0.2442622950819672,0.03278688524590164
brenb102,1912,4,8,1,48,0.08333333333333333,0.16666666666666666,0.020833333333333332
browb102,1912,54,126,12,568,0.09507042253521127,0.22183098591549297,0.02112676056338028
browb103,1912,85,168,19,705,0.12056737588652482,0.23829787234042554,0.02695035460992908
browc104,1912,19,54,10,231,0.08225108225108226,0.23376623376623376,0.04329004329004329
browe101,1912,43,96,12,409,0.10513447432762836,0.23471882640586797,0.029339853300733496
browm102,1912,31,64,10,310,0.1,0.2064516129032258,0.03225806451612903
burks101,1912,16,46,5,178,0.0898876404494382,0.25842696629213485,0.028089887640449437
burnb101,1912,21,21,4,154,0.13636363636363635,0.13636363636363635,0.025974025974025976
bushj101,1912,2,6,0,25,0.08,0.24,0.0
bushj102,1912,4,7,2,35,0.11428571428571428,0.2,0.05714285714285714
caldr101,1912,63,182,22,642,0.09813084112149532,0.2834890965732087,0.03426791277258567
camnh101,1912,96,361,33,919,0.1044613710554951,0.3928182807399347,0.035908596300326445
cashc101,1912,59,95,6,527,0.11195445920303605,0.18026565464895636,0.011385199240986717
chalg101,1912,28,49,9,198,0.1414141414141414,0.2474747474747475,0.045454545454545456
chenl101,1912,140,276,22,1003,0.13958125623130607,0.27517447657028915,0.02193419740777667
cicoe101,1912,76,120,19,687,0.11062590975254731,0.17467248908296942,0.027656477438136828
colek101,1912,41,74,8,268,0.15298507462686567,0.27611940298507465,0.029850746268656716
collr103,1912,64,221,29,742,0.0862533692722372,0.29784366576819404,0.03908355795148248
coomj101,1912,86,250,18,854,0.10070257611241218,0.2927400468384075,0.02107728337236534
coopw101,1912,13,41,3,113,0.11504424778761062,0.36283185840707965,0.02654867256637168
cotte101,1912,1,4,1,17,0.058823529411764705,0.23529411764705882,0.058823529411764705
coves101,1912,7,19,3,70,0.1,0.2714285714285714,0.04285714285714286
covit101,1912,21,44,11,221,0.09502262443438914,0.19909502262443438,0.049773755656108594
crabr101,1912,24,34,5,186,0.12903225806451613,0.1827956989247312,0.026881720430107527
cramb101,1912,0,3,0,13,0.0,0.23076923076923078,0.0
crand101,1912,82,143,24,597,0.1373534338358459,0.23953098827470687,0.04020100502512563
curtc101,1912,63,125,13,467,0.1349036402569593,0.2676659528907923,0.027837259100642397
daleg101,1912,22,63,5,221,0.09954751131221719,0.2850678733031674,0.02262443438914027
danfd101,1912,8,20,1,74,0.10810810810810811,0.2702702702702703,0.013513513513513514
daush101,1912,8,10,0,56,0.14285714285714285,0.17857142857142858,0.0
david102,1912,12,31,1,91,0.13186813186813187,0.34065934065934067,0.01098901098901099
davii103,1912,15,56,5,193,0.07772020725388601,0.29015544041450775,0.025906735751295335
delhf101,1912,4,1,0,15,0.26666666666666666,0.06666666666666667,0.0
dellw101,1912,2,5,0,10,0.2,0.5,0.0
demaa101,1912,9,16,3,50,0.18,0.32,0.06
dente101,1912,0,1,0,6,0.0,0.16666666666666666,0.0
dickw101,1912,87,115,11,713,0.12201963534361851,0.16129032258064516,0.015427769985974754
doakb101,1912,2,2,0,9,0.2222222222222222,0.2222222222222222,0.0
donae101,1912,1,4,1,16,0.0625,0.25,0.0625
donne102,1912,79,113,14,686,0.1151603498542274,0.16472303206997085,0.02040816326530612
donob101,1912,2,4,0,28,0.07142857142857142,0.14285714285714285,0.0
dougp101,1912,5,5,0,50,0.1,0.1,0.0
drucl101,1912,2,4,0,12,0.16666666666666666,0.3333333333333333,0.0
dubuj101,1912,118,172,37,859,0.13736903376018628,0.20023282887077998,0.04307334109429569
engej101,1912,37,44,3,259,0.14285714285714285,0.16988416988416988,0.011583011583011582
