"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Webb, Logan","657277","7.8","33.6","7.9","","24.1","","","","26.6",""
"Gallen, Zac","668678","45.1","2.5","5.8","7.2","16.0","23.5","","","",""
"Peralta, Freddy","642547","53.5","","","9.4","21.2","15.8","","","",""
"Cease, Dylan","656302","41.1","5.0","","41.0","1.1","8.3","","","3.5",""
"Gausman, Kevin","592332","53.7","0.1","","8.6","","","37.6","","",""
"Skenes, Paul","694973","39.6","9.6","","5.7","10.9","4.7","13.6","","15.9",""
"Castillo, Luis","622491","46.4","21.9","","20.4","11.4","","","","",""
"Bibee, Tanner","676440","27.3","15.7","20.9","","15.2","5.1","","","15.8",""
"Brown, Hunter","686613","38.0","22.1","5.5","4.4","12.0","17.9","","","",""
"Irvin, Jake","663623","32.2","21.9","4.1","4.4","7.7","29.6","","","",""
"Williams, Gavin","668909","37.4","6.6","14.0","","0.1","22.0","","","19.9",""
"Pfaadt, Brandon","694297","23.4","23.4","8.9","","15.7","9.9","","","18.6",""
"Alcantara, Sandy","645261","17.5","25.5","","15.8","23.2","18.0","","","",""
"Keller, Mitch","656605","37.0","15.7","0.1","13.9","6.9","7.3","","","19.1",""
"Pivetta, Nick","601713","46.0","4.0","8.9","1.7","","22.4","0.2","","16.9",""
"Singer, Brady","663903","10.5","40.6","9.7","30.1","","","","","9.1",""
"Kelly, Merrill","518876","22.9","13.4","20.5","7.0","26.5","9.7","","","",""
"Flaherty, Jack","656427","46.9","1.6","","23.6","2.5","25.4","","","",""
"Bassitt, Chris","605135","9.3","41.7","16.9","2.9","2.7","16.3","4.5","","5.7",""
"Warren, Will","701542","41.6","21.0","","","9.8","7.0","","","20.6",""
"Ryan, Joe","657746","51.2","11.2","","9.3","","3.9","11.3","","13.1",""
"Yamamoto, Yoshinobu","808967","35.6","7.5","11.0","2.8","","17.6","25.4","","0.0",""
"Littell, Zack","641793","23.8","16.0","","27.5","","","27.3","","5.4",""
"Soriano, José","667755","8.6","49.1","","6.1","0.4","26.6","9.2","","",""
"Holmes, Clay","605280","5.3","41.0","8.3","10.7","15.6","","","","19.1",""
"Severino, Luis","622663","27.6","20.8","17.5","4.0","5.3","","","","24.8",""
"Pallante, Andre","669467","44.0","13.2","","28.6","","14.0","","","0.1",""
"Gray, Sonny","543243","22.3","17.4","12.6","1.6","8.4","18.4","","","19.3",""
"Baz, Shane","669358","43.9","","14.7","3.0","11.4","26.9","","","",""
"Woo, Bryan","693433","47.3","25.6","","10.1","7.1","","","","9.9",""
"Pepiot, Ryan","686752","45.1","2.4","7.0","17.2","25.0","3.3","","","",""
"Kremer, Dean","665152","26.9","19.0","20.2","0.1","","12.8","21.0","","",""
"Wacha, Michael","608379","29.0","10.7","15.4","11.8","25.4","7.7","","","",""
"Bello, Brayan","678394","14.8","35.4","16.0","","15.0","","","","18.8",""
"deGrom, Jacob","594798","46.0","","","37.6","11.3","5.1","","","",""
"Verlander, Justin","434378","45.3","0.4","","23.3","8.5","14.6","","","7.9",""
"Berríos, José","621244","18.5","32.9","5.9","","16.8","","","","","26.0"
"Leiter, Jack","683004","38.4","12.4","","23.3","16.4","9.4","","","",""
"Martinez, Nick","607259","20.8","17.1","21.2","10.2","19.8","11.0","","","",""
"Hendricks, Kyle","543294","15.2","38.2","","","38.4","8.2","","","",""
"Paddack, Chris","663978","44.2","4.4","7.0","9.0","23.5","11.9","","","",""
"Sugano, Tomoyuki","608372","19.1","15.9","12.0","","","9.7","23.5","","19.8",""
"Morton, Charlie","450203","27.6","15.1","9.0","","9.9","38.3","","","",""
"Rea, Colin","607067","42.1","10.0","7.3","10.2","","9.2","12.1","","9.2",""
"Elder, Bryce","693821","12.3","42.1","","35.1","10.5","","","","",""
"Mikolas, Miles","571945","28.2","16.5","","23.4","11.5","17.6","","","2.9",""
"Priester, Quinn","682990","","41.7","20.4","27.2","1.5","9.2","","","",""
"Nelson, Ryne","669194","61.9","","12.2","12.1","2.8","10.9","","","",""
"Smith, Shane","681343","45.8","11.6","","11.1","16.8","14.6","","","0.1",""
"Wheeler, Zack","554430","41.0","17.0","8.6","","","9.8","8.9","","14.8",""
"Lugo, Seth","607625","21.2","14.5","14.1","5.5","9.6","23.0","0.6","","2.0","9.5"
"Burke, Sean","680732","42.8","5.1","","21.9","6.5","23.7","","","",""
"Fedde, Erick","607200","","34.1","28.0","","11.9","","","","26.0",""
"Giolito, Lucas","608337","48.4","","","25.6","22.6","3.5","","","",""
"Ober, Bailey","641927","35.7","3.4","","17.6","28.9","3.8","","","10.6",""
"Mize, Casey","663554","34.0","12.2","","15.3","","","24.2","","0.0","14.3"
"Lorenzen, Michael","547179","21.9","18.2","10.9","12.3","17.3","11.3","","","8.2",""
"Rasmussen, Drew","656876","35.4","22.8","31.5","","1.2","4.3","","","4.8",""
"Martin, Davis","663436","32.7","10.7","23.1","4.3","24.2","4.8","","","",""
"Senzatela, Antonio","622608","53.3","5.1","","19.5","7.7","14.4","","","",""
"Bradley, Taj","671737","46.5","0.5","22.8","","","14.7","15.5","","",""
"Cabrera, Edward","665795","12.7","20.6","","17.3","25.8","23.6","","","",""
"Buehler, Walker","621111","25.3","16.4","16.9","14.9","6.9","12.9","","","6.7",""
"May, Dustin","669160","16.6","33.6","9.7","","0.8","","","","39.3",""
"Gilbert, Logan","669302","36.1","1.5","","35.3","","7.5","19.6","","",""
"Vásquez, Randy","681190","20.9","19.2","25.0","2.1","6.9","12.9","","","13.0",""
"Lord, Brad","695418","48.5","18.1","","20.2","13.1","","","","","0.1"
"Strider, Spencer","675911","51.2","","","35.3","4.6","8.9","","","",""
"Kirby, George","669923","29.0","26.7","","27.4","2.2","12.1","2.7","","",""
"Márquez, Germán","608566","35.3","19.8","","11.0","2.4","31.5","","","",""
"Cecconi, Slade","677944","43.6","11.0","2.7","18.6","7.5","16.5","","","0.1",""
"Walker, Taijuan","592836","9.5","20.2","30.1","11.3","","6.5","22.5","","",""
"Patrick, Chad","694477","21.9","23.6","41.2","5.5","6.1","","0.3","","","1.4"
"Quantrill, Cal","615698","20.4","16.6","21.7","8.2","0.2","11.8","21.0","","",""
"Taillon, Jameson","592791","38.5","6.9","14.6","","11.2","13.7","","","15.1",""
"Holmes, Grant","656550","32.5","0.2","15.1","35.5","1.2","15.4","","","",""
"Eovaldi, Nathan","543135","22.5","5.1","20.1","1.2","","19.8","31.4","","",""
"Senga, Kodai","673540","31.5","6.0","20.3","5.8","","1.7","","","6.1",""
"Houser, Adrian","605288","11.7","45.9","","15.4","15.3","11.7","","","",""
"Woods Richardson, Simeon","680573","45.6","","","27.2","4.3","13.0","10.0","","",""
"Kochanowicz, Jack","686799","18.7","47.0","","14.8","14.0","","","","5.4",""
"Roupp, Landen","694738","0.7","39.9","6.7","","17.1","35.7","","","",""
"Cannon, Jonathan","686563","18.1","22.0","23.5","","21.4","","","","15.1",""
"Horton, Cade","690990","50.2","5.6","","0.2","12.8","10.3","","","20.9",""
"Dollander, Chase","801403","48.8","9.8","12.1","0.2","7.8","21.3","","","",""
"Gusto, Ryan","687473","43.7","10.5","10.9","1.3","9.7","14.9","","","9.1",""
"Brown, Ben","676962","55.6","","","","4.5","39.9","","","",""
"Greene, Hunter","668881","54.2","","","35.0","","0.1","10.8","","",""
"Civale, Aaron","650644","15.5","16.8","35.0","7.7","","18.9","5.8","","0.3",""
"Kolek, Stephen","663568","25.6","24.1","15.2","16.6","11.6","0.1","","","6.8",""
"Pérez, Eury","691587","51.5","0.8","","23.1","7.8","9.1","","","7.6",""
"Mlodzinski, Carmen","669387","36.6","14.6","0.2","14.3","","8.8","15.2","","10.3",""
"Vasil, Mike","678024","14.0","39.9","5.5","","12.2","12.3","","","16.1",""
"Junk, Janson","676083","37.7","","","27.6","7.8","11.7","","","15.2",""
"Ginn, J.T.","669372","0.2","50.8","13.6","25.8","9.7","","","","",""
"Schwellenbach, Spencer","680885","35.3","10.0","11.3","18.1","","11.4","13.9","","",""
"Nola, Aaron","605400","30.3","17.9","7.3","","15.3","29.1","","","",""
"Miller, Bryce","682243","40.9","16.5","1.2","7.6","","10.8","18.7","","4.3",""
"Burrows, Mike","681347","39.2","5.6","","19.5","23.7","11.9","","","",""
"Soroka, Michael","647336","45.2","10.0","","","10.1","","","","","34.8"
"Ortiz, Luis L.","682847","29.4","19.5","12.3","25.9","12.9","","","","",""
"Glasnow, Tyler","607192","35.4","20.6","","22.1","","21.9","","","",""
"Montero, Keider","672456","30.8","19.9","","21.9","12.8","14.5","","","0.1",""
"McGreevy, Michael","700241","25.7","21.7","9.8","0.8","10.3","12.1","","","19.6",""
"Williams, Trevor","592866","42.6","8.3","","8.4","12.8","","","","27.8",""
"Hancock, Emerson","676106","25.7","39.1","","11.7","20.4","","","","3.0",""
"Scherzer, Max","453286","48.5","","1.9","23.7","14.0","11.9","","","",""
"Mahle, Tyler","641816","49.5","","12.7","10.0","","","27.7","","",""
"Bido, Osvaldo","674370","37.4","15.3","6.8","29.8","10.7","","","","",""
"Matthews, Zebby","805673","39.3","6.1","13.2","25.1","10.6","5.8","","","",""
"Spence, Mitch","687765","","9.4","45.2","26.8","1.0","17.6","","","",""
"Leahy, Kyle","681517","30.4","7.3","","20.9","9.6","18.0","","","13.9",""
"Canning, Griffin","656288","34.5","0.6","3.8","31.5","23.2","6.5","","","",""
"Rutledge, Jackson","671131","19.7","31.6","13.4","25.8","","","9.4","","",""
"Evans, Logan","688138","10.8","17.0","27.0","","12.3","9.8","","","23.2",""
"Bellozo, Valente","678368","28.7","","35.0","","14.4","4.8","1.8","","15.2",""
"Bergert, Ryan","686701","42.5","6.6","","24.8","7.5","0.6","","","18.0",""
"Bivens, Spencer","702352","6.3","37.6","27.2","","15.3","","","","8.3","5.3"
"Herget, Jimmy","623474","7.4","27.9","","28.1","5.5","31.1","","","",""
"Barlow, Scott","605130","20.7","15.3","","19.5","","16.4","","","28.0",""
"Casparius, Ben","676508","30.4","1.2","21.8","","","14.4","","","32.2",""
"López, Pablo","641154","41.2","6.5","","","21.2","9.9","","","21.2",""
"Schlittler, Cam","693645","54.7","7.2","20.8","","","14.9","","","2.4",""
"Alexander, Jason","669920","10.1","40.0","1.0","0.2","32.7","","","","16.0",""
"Gordon, Tanner","685299","52.8","","","25.1","21.1","1.0","","","",""
"Estrada, Jeremiah","669093","56.8","","","20.0","","","23.2","","",""
"Megill, Tylor","656731","42.2","19.6","","24.1","7.2","6.9","","","",""
"Santillan, Tony","663574","65.0","","","13.4","0.1","","","","","21.5"
"Schmidt, Clarke","657376","8.2","8.2","40.5","12.9","","18.2","","","12.2",""
"Kinley, Tyler","641755","22.9","","","64.3","0.9","11.9","","","",""
"Bazardo, Eduard","660825","14.1","40.7","0.2","42.8","","","2.1","","",""
"King, Michael","650633","24.4","29.5","","5.7","21.4","","","","18.9",""
"Uceta, Edwin","670955","40.6","1.6","15.9","","38.9","","","","3.0",""
"Hicks, Jordan","663855","9.3","54.5","","8.1","","","6.0","","22.2",""
"Birdsong, Hayden","806185","44.1","","","24.4","16.8","12.9","","","","1.8"
"Abreu, Bryan","650556","50.0","1.2","","48.4","0.4","","","","",""
"Smith, Cade","671922","69.9","","","","","","21.2","","8.9",""
"Whitlock, Garrett","676477","","47.1","","30.9","20.8","","","","1.1",""
"Uribe, Abner","682842","3.1","50.9","","46.0","","","","","",""
"Misiorowski, Jacob","694819","55.2","","","24.3","5.9","14.6","","","",""
"Olson, Reese","681857","18.4","28.2","","21.6","25.9","5.5","","","0.4",""
"Rodríguez, Yariel","684320","40.8","6.0","","41.3","","","11.9","","",""
"Anderson, Grant","681982","33.2","24.8","","","4.1","","","","37.8",""
