"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Wheeler, Zack","554430","42.4","18.3","25.0","","3.7","10.7","","","",""
"Mahle, Tyler","641816","53.0","","4.9","26.2","","","15.9","","",""
"Castillo, Luis","622491","28.5","23.6","","17.4","30.5","","","","",""
"Buehler, Walker","621111","44.7","7.4","16.0","0.0","4.8","13.2","","","13.9",""
"Alcantara, Sandy","645261","21.6","28.2","","24.0","23.6","2.6","","","",""
"Wainwright, Adam","425794","9.7","28.1","21.7","","6.4","34.1","","","",""
"Berríos, José","621244","26.7","29.6","","","13.2","","","","","30.5"
"Montas, Frankie","593423","29.9","28.4","7.4","12.1","","","22.3","","",""
"Gausman, Kevin","592332","52.7","","","6.2","5.6","","35.5","","",""
"Morton, Charlie","450203","36.1","13.3","8.5","","5.3","36.7","","","",""
"Nola, Aaron","605400","37.5","14.2","1.5","","19.8","27.0","","","",""
"Giolito, Lucas","608337","43.9","","","21.5","31.8","2.8","","","",""
"Cole, Gerrit","543037","47.1","0.8","","22.2","14.2","15.7","","","",""
"Lyles, Jordan","543475","39.4","9.0","2.8","9.2","7.3","18.2","","","14.2",""
"Cease, Dylan","656302","46.9","","","30.2","7.2","15.2","","","0.4",""
"Musgrove, Joe","605397","20.3","5.1","18.2","27.8","4.8","23.8","","","",""
"Eovaldi, Nathan","543135","42.3","","12.6","13.7","","18.8","12.7","","",""
"Gibson, Kyle","502043","12.6","34.0","15.0","15.7","13.4","9.0","","","0.4",""
"Scherzer, Max","453286","46.7","","9.8","18.8","14.9","9.8","","","",""
"Flexen, Chris","623167","40.0","","29.4","","15.3","15.3","","","",""
"Woodruff, Brandon","605540","33.7","26.8","","8.6","14.2","16.8","","","",""
"Hendricks, Kyle","543294","18.0","42.6","","","27.7","11.7","","","",""
"Márquez, Germán","608566","45.5","7.4","","26.9","2.1","18.2","","","",""
"McCullers Jr., Lance","621121","","34.0","1.7","25.6","13.7","25.0","","","",""
"Darvish, Yu","506433","22.1","8.3","2.5","31.0","","8.5","4.9","","22.8",""
"Pivetta, Nick","601713","51.8","0.1","0.4","21.2","2.7","23.8","","","0.0",""
"Stroman, Marcus","573186","2.6","42.0","15.4","1.6","","0.4","16.1","","","21.9"
"Burnes, Corbin","669203","1.3","9.4","52.3","9.2","9.6","18.2","","","",""
"Davies, Zach","605200","0.6","51.8","7.5","0.6","32.5","6.9","","","",""
"Greinke, Zack","425844","40.0","5.7","0.1","15.2","22.3","16.7","","","",""
"DeSclafani, Anthony","543101","27.0","18.7","","35.7","10.5","8.1","","","",""
"Walker, Taijuan","592836","35.5","21.6","0.1","21.1","","7.3","14.3","","",""
"Gray, Jon","592351","46.6","1.0","","38.1","8.0","6.3","","","",""
"Lynn, Lance","458681","41.4","20.1","30.9","0.1","4.5","3.0","","","",""
"Garcia, Luis","677651","44.7","","21.4","1.3","11.0","9.4","","","12.2",""
"Kelly, Merrill","518876","32.0","18.4","14.1","","17.4","18.1","","","",""
"Fedde, Erick","607200","1.2","42.2","22.9","","10.0","20.6","0.2","","2.8",""
"Senzatela, Antonio","622608","54.5","1.6","","31.9","6.2","5.8","","","",""
"Bassitt, Chris","605135","19.3","35.7","18.1","2.4","10.2","6.5","","","7.9",""
"Taillon, Jameson","592791","49.5","5.5","5.5","14.5","5.9","19.1","","","0.0",""
"Mize, Casey","663554","29.7","22.3","","28.1","","6.7","13.2","","",""
"Peralta, Freddy","642547","51.7","1.3","","26.5","9.7","10.7","","","",""
"Houser, Adrian","605288","13.4","54.0","","7.3","10.9","14.4","","","",""
"Keller, Brad","641745","29.6","29.0","","34.8","6.5","","","","",""
"Richards, Garrett","572070","53.0","0.6","","27.4","6.9","12.2","","","",""
"Singer, Brady","663903","0.3","57.7","","38.2","3.8","","","","",""
"Quantrill, Cal","615698","14.1","37.1","25.9","4.7","13.9","4.2","0.1","","",""
"Foltynewicz, Mike","592314","29.3","21.8","","23.6","12.7","12.6","","","",""
"Harvey, Matt","518774","34.1","20.8","","19.3","11.9","14.0","","","",""
"Gray, Sonny","543243","23.8","29.1","0.5","4.8","3.3","23.2","","","15.3",""
"Webb, Logan","657277","9.8","37.8","1.1","","23.6","","","","27.7",""
"Plesac, Zach","668676","42.1","","","23.2","23.9","10.8","","","",""
"Anderson, Ian","666120","47.2","0.2","","","31.4","20.1","","","1.0",""
"Crowe, Wil","640444","35.0","11.7","","24.7","18.2","10.5","","","",""
"López, Jorge","605347","21.1","35.9","","5.6","13.8","23.7","","","",""
"Gilbert, Logan","669302","61.5","0.0","","23.2","7.3","7.2","0.8","","",""
"Gallen, Zac","668678","53.8","0.4","8.3","8.4","16.7","12.5","","","",""
"Ohtani, Shohei","660271","44.0","","12.3","0.3","","3.4","18.1","","21.9",""
"Kaprielian, James","621076","52.8","6.0","","17.3","15.8","8.1","","","",""
"McKenzie, Triston","663474","61.6","","","19.1","1.3","18.0","","","",""
"Gant, John","607231","12.8","36.4","19.7","3.0","22.5","5.6","","","",""
"Wacha, Michael","608379","35.9","3.6","24.9","","29.4","6.3","","","",""
"Alzolay, Adbert","640470","18.5","27.0","6.5","39.8","7.1","1.1","","","0.1",""
"Brubaker, JT","664141","24.5","24.6","","34.2","6.3","10.4","","","",""
"Mills, Alec","621219","17.3","42.9","","12.6","16.8","10.4","","","",""
"Dunning, Dane","641540","0.6","52.1","8.0","21.6","13.0","4.7","","","",""
"Civale, Aaron","650644","22.4","10.5","25.6","10.3","","16.2","13.5","","1.5",""
"Cueto, Johnny","456501","36.0","15.4","1.5","21.7","23.6","1.7","","","",""
"Paddack, Chris","663978","61.5","","","","26.2","12.3","","","",""
"Keller, Mitch","656605","56.5","","24.2","","4.7","14.5","","","",""
"Odorizzi, Jake","543606","55.1","0.2","11.0","6.6","","5.2","22.0","","",""
"Manoah, Alek","666201","36.2","26.7","","27.8","9.4","","","","",""
"Gutierrez, Vladimir","661269","47.2","0.2","","22.8","12.2","17.6","","","",""
"Javier, Cristian","664299","59.4","","","0.9","5.9","7.9","","","25.9",""
"Bauer, Trevor","545333","40.2","5.8","21.6","","2.6","11.2","","","18.6",""
"Maeda, Kenta","628317","25.9","5.3","","36.1","","3.6","28.5","","0.6",""
"Velasquez, Vince","592826","49.9","4.5","","13.8","15.3","16.6","","","",""
"Arrieta, Jake","453562","","52.7","","23.8","8.1","15.4","","","",""
"Espino, Paolo","502179","55.2","","","0.3","4.1","24.2","","","16.1",""
"Pineda, Michael","501381","54.2","","","28.9","16.9","","","","",""
"Ross, Joe","605452","16.0","46.6","","31.3","6.1","","","","",""
"Ureña, José","570632","16.2","47.2","","23.0","13.6","","","","",""
"Stripling, Ross","548389","51.0","","","18.4","15.2","15.4","","","",""
"López, Pablo","641154","32.6","12.6","12.6","","32.5","9.5","","","0.1",""
"González, Chi Chi","592346","46.6","5.6","8.9","24.2","9.7","5.0","","","",""
"Urquidy, José","664353","54.9","","","","18.2","7.4","","","19.5",""
"Eflin, Zach","621107","12.4","41.6","0.4","24.1","10.7","10.8","","","",""
"Cobb, Alex","502171","4.5","42.1","","","","16.3","37.0","","",""
"Germán, Domingo","593334","28.7","15.0","","","22.2","34.0","","","",""
"Bieber, Shane","669456","35.5","","3.4","25.6","4.4","31.1","","","",""
"Megill, Tylor","656731","57.6","","","18.7","20.9","2.8","","","",""
"Peralta, Wily","503449","25.0","30.2","","22.3","","","22.5","","",""
"Williams, Trevor","592866","48.4","12.0","","20.6","10.0","9.0","","","",""
"Bundy, Dylan","605164","34.2","17.3","","21.2","13.7","13.7","","","",""
"Ynoa, Huascar","660623","44.7","0.5","","48.2","6.6","","","","",""
"Ober, Bailey","641927","58.0","","","9.2","13.0","10.6","","","9.1",""
"Kuhl, Chad","641771","25.4","13.0","","46.1","4.3","11.2","","","",""
"Hernández, Carlos","672578","55.8","","","16.2","","18.5","9.4","","",""
"Manning, Matt","666159","41.7","19.1","","15.1","12.5","11.3","0.3","","",""
"Morgan, Eli","669212","48.7","","0.9","23.5","23.2","3.7","","","",""
"Jax, Griffin","643377","44.2","0.1","0.1","","15.4","9.0","","","31.1",""
"Stratton, Chris","608717","48.1","0.3","","13.7","12.6","25.3","","","",""
"Patiño, Luis","672715","60.6","3.2","","26.4","5.0","4.8","","","",""
"Shaw, Bryan","543766","0.3","1.5","77.5","","4.2","5.8","","","10.7",""
"Hoffman, Jeff","656546","55.7","","","21.3","","10.5","12.4","","",""
"Flaherty, Jack","656427","50.6","6.2","","28.3","1.8","13.1","","","",""
"Glasnow, Tyler","607192","51.6","","","32.3","2.5","13.5","","","",""
"Kluber, Corey","446372","4.6","25.1","27.2","","13.8","29.4","","","",""
"Crismatt, Nabil","622503","13.5","11.7","","","51.2","23.6","","","",""
"Peacock, Matt","676840","0.2","68.2","","24.5","7.2","","","","",""
"Green, Chad","643338","65.0","0.5","","0.3","","16.6","","","17.6",""
"Stammen, Craig","489334","0.6","47.6","21.8","","0.5","29.5","","","",""
"Martinez, Carlos","593372","27.5","13.8","21.3","22.8","13.5","1.1","","","",""
"Reyes, Alex","621052","30.7","23.9","","28.0","9.0","8.4","","","",""
"Neris, Héctor","593576","36.3","19.5","","3.5","","","40.6","","",""
