"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Chafin, Andrew","605177","20.8","43.2","","35.1","0.9","","","","",""
"Burke, Brock","656271","64.4","5.6","","18.8","11.2","","","","",""
"Peralta, Wandy","593974","4.2","38.5","","13.1","44.2","","","","",""
"Nelson, Kyle","669459","33.1","","7.6","59.2","","","","","",""
"Young, Alex","622065","3.5","36.3","","","35.9","24.3","","","",""
"Pérez, Cionel","672335","26.5","37.1","","0.1","","6.5","","","","29.9"
"Murphy, Chris","669684","38.6","0.1","","31.7","6.3","18.3","","","4.9",""
"Shuster, Jared","694363","43.9","0.2","","32.9","23.0","","","","",""
"Bernardino, Brennan","657514","0.2","55.7","","","1.4","42.7","","","",""
"Smith, Will","519293","38.9","","","50.2","2.9","8.0","","","",""
"Hernandez, Jose E.","669796","33.2","","","55.9","10.9","","","","",""
"Vesia, Alex","681911","67.9","0.2","","30.5","1.4","","","","",""
"Vasquez, Andrew","607755","7.3","4.3","","81.8","1.5","5.0","","","",""
"Hentges, Sam","656529","31.2","18.1","","14.7","","36.0","","","",""
"Davidson, Tucker","656353","35.2","2.0","","44.3","","","7.4","","11.1",""
"Lauer, Eric","641778","43.1","0.1","35.4","8.2","0.7","12.4","","","",""
"Loup, Aaron","571901","1.7","54.5","22.2","","17.6","4.1","","","",""
"Cosgrove, Tom","676680","24.0","23.4","","","0.4","","","","52.2",""
"Rogers, Taylor","573124","0.7","40.8","2.0","","","","","","56.5",""
"Moore, Matt","519043","47.9","0.1","","","31.3","20.7","","","",""
"Ryu, Hyun Jin","547943","27.5","13.7","18.9","","22.8","17.1","","","",""
"Coulombe, Danny","543056","8.6","18.1","43.0","","1.9","10.7","","","17.7",""
"Gonzales, Marco","594835","28.1","8.8","8.8","","30.2","24.2","","","",""
