"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Snell, Blake","605483","48.6","0.1","","13.1","18.4","19.8","","","",""
"Luzardo, Jesús","666200","41.3","8.5","0.4","28.9","21.0","","","","",""
"Valdez, Framber","664285","0.2","46.8","3.4","8.7","15.6","25.3","","","",""
"Corbin, Patrick","571578","17.0","41.5","","35.1","6.4","","","","",""
"Montgomery, Jordan","656756","10.9","42.7","1.2","0.2","22.9","22.2","","","",""
"Sears, JP","676664","50.1","0.1","","15.4","15.1","0.0","","","19.1",""
"Kikuchi, Yusei","579328","45.2","0.4","","26.3","9.1","18.9","","","0.1",""
"Steele, Justin","657006","62.8","1.6","","33.8","1.0","0.7","","","",""
"Sandoval, Patrick","663776","25.2","11.4","","26.1","25.8","9.0","","","2.6",""
"Heaney, Andrew","571760","57.9","","","24.9","16.9","0.3","","","",""
"Detmers, Reid","672282","38.7","4.5","","30.9","5.4","19.4","","","1.1",""
"Waldichuk, Ken","686610","54.3","0.0","","","16.6","2.0","","","27.1",""
"Hill, Rich","448179","34.0","4.2","14.7","1.9","2.2","36.1","","","6.9",""
"Garrett, Braxton","666129","7.4","31.8","17.7","25.8","8.8","8.4","","","",""
"Gore, MacKenzie","669022","59.5","","","18.7","2.9","18.4","","","0.5",""
"Anderson, Tyler","542881","37.4","5.6","22.1","0.8","33.9","0.2","","","",""
"Freeland, Kyle","607536","18.4","28.1","23.5","","12.4","17.6","","","",""
"Smyly, Drew","592767","0.2","38.5","11.9","","","49.4","","","",""
"Rodriguez, Eduardo","593958","45.3","9.5","19.1","7.2","18.9","","","","",""
"Pérez, Martín","527048","5.0","41.8","22.0","1.0","26.5","3.7","","","",""
"Gomber, Austin","596295","44.7","0.4","","20.1","18.1","16.8","","","",""
"Allen, Logan","671106","45.0","0.0","9.0","2.4","21.3","","","","22.3",""
"Manaea, Sean","640455","13.9","43.0","0.0","13.9","17.0","","","","12.0",""
"Kershaw, Clayton","477132","36.8","0.2","","43.4","1.6","17.5","0.3","","",""
"Suárez, Ranger","624133","21.4","28.2","12.7","0.4","18.3","19.0","","","",""
"Peterson, David","656849","27.5","25.0","","19.8","18.9","8.8","","","",""
"Williamson, Brandon","682227","37.1","0.1","29.8","0.8","16.5","6.3","","","9.4",""
"Wentz, Joey","666214","41.6","","25.1","","17.5","15.8","","","",""
"Abbott, Andrew","671096","49.8","0.2","","","16.4","17.1","","","16.5",""
"Miley, Wade","489119","19.4","4.6","44.3","4.9","24.6","2.2","","","",""
"Matz, Steven","571927","","56.1","","1.8","27.4","14.8","","","",""
"Urías, Julio","628711","45.0","0.1","9.2","","15.7","","","","","30.0"
"McClanahan, Shane","663556","41.8","0.1","","15.3","25.8","17.0","","","",""
"Wood, Alex","622072","0.1","44.5","","26.1","29.3","","","","",""
"Paxton, James","572020","53.7","3.6","16.3","","6.7","19.7","","","",""
"Sale, Chris","519242","43.2","6.2","","37.5","13.1","","","","",""
"Ragans, Cole","666142","40.1","","13.4","10.4","23.7","12.4","","","",""
"Sánchez, Cristopher","650911","0.1","46.0","","21.1","32.8","","","","",""
"Muller, Kyle","666205","51.5","","","25.3","8.3","14.9","","","",""
"Yarbrough, Ryan","642232","30.4","0.6","24.8","","18.2","","","","26.1",""
"Henry, Tommy","674072","48.9","0.1","","12.7","19.3","19.1","","","",""
"Strahm, Matt","621381","45.1","18.8","9.3","26.4","0.4","","","","",""
"Falter, Bailey","663559","45.0","6.6","","18.9","4.6","22.5","2.4","","",""
"Irvin, Cole","608344","25.8","22.9","15.9","","21.1","14.3","","","",""
"Blach, Ty","621389","5.9","49.1","16.5","","22.1","6.4","","","",""
"Fried, Max","608331","32.1","12.9","4.4","6.4","16.5","23.1","","","4.7",""
"Quintana, Jose","500779","24.5","32.1","","","18.1","20.4","","","","4.9"
"Skubal, Tarik","669373","36.0","12.1","","20.7","24.1","6.8","0.2","","",""
"Scott, Tanner","656945","47.3","0.1","","52.6","","","","","",""
"Holton, Tyler","663947","27.9","12.3","19.4","","22.5","3.6","","","14.2",""
"Boyd, Matthew","571510","39.0","6.6","","28.4","18.7","7.4","","","",""
"Thompson, Zack","668868","53.7","","","17.0","2.1","27.3","","","",""
"Rodón, Carlos","607074","60.3","","0.1","28.9","4.3","6.4","","","",""
"Suter, Brent","608718","30.6","30.4","","10.8","28.3","","","","",""
"Harris, Hogan","663687","46.9","","18.9","","20.3","3.3","","","10.6",""
"Bummer, Aaron","607481","6.5","44.4","10.6","","0.5","","","","38.0",""
"Weathers, Ryan","677960","53.7","2.5","","","23.5","","","","20.3",""
"Cortes, Nestor","641482","52.4","0.1","28.8","2.0","2.8","","","","13.9",""
"Ferguson, Caleb","657571","66.5","","30.2","","","","","","2.5","0.8"
"Minter, A.J.","621345","47.2","","38.9","","13.9","","","","",""
"Liberatore, Matthew","669461","36.7","19.9","0.1","12.7","8.1","22.4","","","",""
"Hader, Josh","623352","","73.4","","23.2","3.4","","","","",""
"Milner, Hoby","571948","18.6","31.0","","","17.3","","","","33.1",""
"Moll, Sam","594580","25.9","34.9","","","1.4","","","","37.9",""
"Okert, Steven","595345","38.6","0.1","","61.3","","","","","",""
"Chapman, Aroldis","547973","47.5","16.5","","29.0","","","7.0","","",""
"Banks, Tanner","621383","35.3","2.9","","30.4","16.5","","","","15.0",""
"Diekman, Jake","518617","31.5","32.3","3.6","","14.7","","","","17.9",""
"Raley, Brooks","548384","0.7","24.9","23.0","","15.1","","","","36.3",""
"Bradford, Cody","674003","54.5","","13.3","4.4","27.7","","","","",""
"Hand, Brad","543272","32.4","17.8","","","","","","","49.8",""
"Soto, Gregory","642397","17.7","43.1","","39.0","0.2","","","","",""
"Nardi, Andrew","677053","61.3","","","37.8","0.9","","","","",""
"Puk, A.J.","640462","51.2","4.9","","0.9","0.8","","0.4","","41.7",""
"Cabrera, Génesis","650893","35.7","14.7","32.1","","4.1","13.3","","","",""
"Poche, Colin","621363","65.0","","","35.0","","","","","",""
