"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Cleavinger, Garrett","664076","24.9","9.4","24.6","24.1","","","","","17.0",""
"Alvarado, José","621237","0.2","59.2","40.3","","","0.3","","","",""
"Matsui, Yuki","673513","41.0","0.1","","27.1","","1.0","24.5","","6.4",""
"Milner, Hoby","571948","21.5","31.9","","","13.7","","","","32.3","0.6"
"Cabrera, Génesis","650893","19.3","21.7","39.3","","7.7","12.0","","","",""
"Suter, Brent","608718","43.1","20.9","","16.2","19.8","","","","",""
"Koenig, Jared","657649","1.2","56.6","25.2","","3.9","13.1","","","",""
"Smyly, Drew","592767","0.3","47.7","3.3","","","48.6","","","",""
"Herrin, Tim","682120","24.3","12.8","","27.6","","35.3","","","",""
"Suarez, José","660761","40.0","8.7","1.1","13.3","24.7","0.3","","","11.9",""
"Hill, Tim","657612","26.1","68.7","","5.2","","","","","",""
"Strahm, Matt","621381","53.4","15.3","11.8","19.4","0.1","","","","",""
"Bummer, Aaron","607481","10.0","39.8","5.0","","1.1","2.3","","","41.8",""
"Chafin, Andrew","605177","14.7","39.5","","45.8","","","","","",""
"Soto, Gregory","642397","10.9","46.9","0.7","33.5","","","","","7.9",""
"Zerpa, Angel","672582","19.7","43.7","","26.1","10.3","0.2","","","",""
"Garcia, Robert","676395","52.7","0.1","","16.0","31.2","","","","",""
"Ferguson, Caleb","657571","43.3","9.8","26.5","","","","","","0.2","20.2"
"Hudson, Bryan","663542","52.2","","24.5","","","","","","23.3",""
"Romero, JoJo","668941","9.9","39.0","0.1","33.9","17.1","","","","",""
"Nardi, Andrew","677053","60.8","","","38.4","0.8","","","","",""
"Thielbar, Caleb","573204","43.4","","","0.8","","24.8","","","31.0",""
"Mantiply, Joe","573009","4.6","42.4","","","26.4","26.5","","","",""
"Rodriguez, Eduardo","593958","42.6","8.8","19.2","6.9","22.5","","","","",""
"Pérez, Cionel","672335","24.2","38.3","","","","0.1","","","","37.4"
"Bernardino, Brennan","657514","","46.6","11.5","6.7","","35.1","","","",""
"Lee, Dylan","669276","33.1","","","54.8","12.1","","","","",""
"King, John","667463","1.4","58.9","","12.0","27.7","","","","",""
"Moore, Matt","519043","50.0","","0.7","","31.7","17.6","","","",""
"Wicks, Jordan","696136","45.1","13.0","","6.0","25.8","6.1","","","4.0",""
"McFarland, T.J.","519008","","49.2","0.1","","12.3","","","","38.4",""
"Wilson, Justin","458677","49.6","","23.9","25.4","","","1.1","","",""
"Latz, Jacob","656641","49.4","","","22.8","22.8","5.0","","","",""
