"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Ragans, Cole","666142","41.7","0.1","11.3","12.8","23.7","10.4","","","",""
"Rodón, Carlos","607074","49.4","0.0","3.5","26.0","12.9","8.3","","","",""
"Manaea, Sean","640455","31.0","25.1","7.0","6.3","11.7","","","","18.9",""
"Gore, MacKenzie","669022","55.4","","14.2","1.3","9.3","19.4","","","0.5",""
"Kikuchi, Yusei","579328","47.0","","","24.0","11.1","17.9","","","",""
"Anderson, Tyler","542881","39.6","3.3","18.1","1.8","37.1","0.1","","","",""
"Corbin, Patrick","571578","5.7","35.7","19.2","34.2","3.3","1.8","0.0","","",""
"Sears, JP","676664","36.1","10.7","","8.4","19.2","0.6","","","24.9",""
"Cortes, Nestor","641482","44.4","1.2","28.0","0.9","9.6","","","","15.8",""
"Skubal, Tarik","669373","33.2","20.6","","14.9","27.0","4.2","0.1","","",""
"Quintana, Jose","500779","22.5","30.4","","","19.3","21.9","","","","6.0"
"Sale, Chris","519242","38.2","7.3","","40.3","14.2","","","","",""
"Sánchez, Cristopher","650911","","47.3","0.2","16.8","35.7","","","","",""
"Fried, Max","608331","32.3","16.6","4.9","5.9","13.7","20.9","","","5.7",""
"Heaney, Andrew","571760","51.2","0.3","0.2","27.2","16.9","3.6","","","","0.6"
"Gomber, Austin","596295","40.4","0.0","","16.7","20.5","22.4","","","",""
"Valdez, Framber","664285","0.7","46.2","","4.3","17.5","31.3","","","",""
"Imanaga, Shota","684007","51.9","2.2","0.5","","3.8","3.3","30.8","","7.6",""
"Parker, Mitchell","680730","48.6","","","9.8","","22.5","19.1","","",""
"Crochet, Garrett","676979","53.6","2.2","28.5","","5.9","","","","9.7",""
"Suárez, Ranger","624133","19.6","31.4","12.1","0.1","16.3","20.5","","","",""
"Abbott, Andrew","671096","53.5","","","0.2","16.3","11.6","","","18.3",""
"Rogers, Trevor","669432","31.7","24.2","","20.6","23.5","","","","",""
"Pérez, Martín","527048","4.6","36.6","22.0","0.0","22.7","14.1","","","",""
"Falter, Bailey","663559","46.8","15.8","","21.6","","15.2","0.6","","",""
"Harrison, Kyle","690986","57.6","0.0","0.3","","19.8","0.0","","","","22.3"
"Steele, Justin","657006","59.7","5.2","","29.7","3.2","2.2","","","",""
"Montgomery, Jordan","656756","17.2","30.9","","1.8","19.3","30.7","","","",""
"Peterson, David","656849","26.2","31.3","","18.4","16.4","7.6","","","",""
"Lodolo, Nick","666157","28.5","27.8","","","16.4","27.3","","","",""
"Snell, Blake","605483","46.3","0.1","","10.0","17.5","26.1","","","",""
"Freeland, Kyle","607536","20.4","26.6","22.6","","11.6","18.8","","","",""
"Irvin, Cole","608344","27.1","19.2","10.9","4.1","13.4","25.2","","","",""
"Paxton, James","572020","54.3","5.7","3.1","","6.6","30.3","","","",""
"Alexander, Tyler","641302","22.7","12.7","31.8","0.4","13.7","","","","18.7",""
"Allen, Logan","671106","37.4","11.1","14.6","","18.2","","","","18.8",""
"Herz, DJ","687792","54.2","","","17.9","24.5","3.3","","","",""
"Detmers, Reid","672282","42.4","4.4","","24.5","14.1","14.6","","","",""
"Yarbrough, Ryan","642232","17.6","29.6","9.9","","15.5","","","","27.1","0.3"
"Sandoval, Patrick","663776","15.9","17.5","","24.7","28.3","9.0","","","4.6",""
"Weathers, Ryan","677960","39.2","12.5","","0.6","26.0","","","","21.6",""
"Povich, Cade","700249","40.7","8.4","7.5","6.3","10.9","19.6","","","6.7",""
"Liberatore, Matthew","669461","28.0","20.6","12.9","27.5","4.6","6.5","","","",""
"Holton, Tyler","663947","15.1","21.8","27.3","","18.9","1.5","","","15.5",""
"Shuster, Jared","694363","38.2","4.0","","28.4","29.4","","","","",""
"Miller, Erik","669062","49.7","","","16.4","33.9","","","","",""
"Akin, Keegan","669211","56.0","","","33.2","10.8","","","","",""
"Wentz, Joey","666214","36.5","","31.4","","19.1","13.0","","","",""
"Harris, Hogan","663687","56.0","0.2","0.2","","16.5","15.7","","","11.5",""
"Beeks, Jalen","656222","55.5","0.1","17.8","","25.6","1.0","","","",""
"Bradford, Cody","674003","52.3","","0.7","7.0","27.3","12.8","","","",""
"Banks, Tanner","621383","30.9","8.6","","33.0","12.7","","","","14.8",""
"Puk, A.J.","640462","43.2","14.7","","21.7","1.4","","2.6","","16.4",""
"Hader, Josh","623352","0.2","71.4","","27.4","1.0","","","","",""
"Scott, Tanner","656945","59.2","0.1","","40.7","0.1","","","","",""
"Blach, Ty","621389","0.1","50.8","13.7","0.1","24.4","10.9","","","",""
"Chapman, Aroldis","547973","33.4","27.7","","26.6","","","12.2","","",""
"Vesia, Alex","681911","63.1","0.1","","31.7","5.0","","","","",""
"Luzardo, Jesús","666200","35.7","12.0","","29.3","22.9","0.1","","","",""
"Rogers, Taylor","573124","","52.8","","","","","","","47.2",""
"Morejon, Adrian","670970","23.2","36.2","","29.8","","0.8","","7.8","2.2",""
