"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Romero, JoJo","668941","6.0","32.2","0.1","38.0","22.5","","","","","1.2"
"Garcia, Robert","676395","44.9","","","26.9","28.3","","","","",""
"Bummer, Aaron","607481","12.6","34.8","","","","35.0","","","17.7",""
"Speier, Gabe","642100","44.7","29.5","","25.7","","","","","",""
"Chapman, Aroldis","547973","40.6","33.0","","15.2","","","11.2","","",""
"Beeks, Jalen","656222","52.4","","9.9","","37.7","","","","",""
"Scott, Tanner","656945","52.7","","","47.2","0.1","","","","",""
"Gibson, Cade","806188","9.7","23.5","","9.5","14.5","28.6","","","14.2",""
"Pérez, Martín","527048","3.5","31.2","28.2","","28.8","8.3","","","",""
"Hill, Tim","657612","13.7","82.0","","4.3","","","","","",""
"Rogers, Taylor","573124","0.1","49.0","","","","","","","50.9",""
"Cleavinger, Garrett","664076","12.2","37.0","1.7","38.8","","","","","10.3",""
"Montgomery, Mason","682254","66.2","","","33.8","","","","","",""
"Fluharty, Mason","689254","","0.1","58.2","","","","","","41.7",""
"Hader, Josh","623352","","54.2","","41.4","4.4","","","","",""
"Gilbert, Tyler","656457","11.7","31.6","18.6","","","","7.9","","30.3",""
"Thielbar, Caleb","573204","42.1","","","14.4","","28.1","","","15.4",""
"Bernardino, Brennan","657514","","44.8","12.4","4.1","12.5","26.3","","","",""
"Wilson, Justin","458677","46.8","","14.8","33.3","","","5.0","","",""
"Walter, Brandon","687888","19.3","12.5","27.4","","18.3","","","","22.5",""
