"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Rodriguez, Eduardo","593958","38.7","15.8","16.2","2.4","23.7","3.2","","","",""
"Minor, Mike","501985","44.6","","","19.4","24.6","11.4","","","",""
"Corbin, Patrick","571578","19.4","34.3","","37.1","5.7","3.5","","","",""
"Bumgarner, Madison","518516","42.8","0.1","33.4","","5.3","18.3","","","",""
"Gonzales, Marco","594835","39.4","","20.7","","24.1","15.9","","","",""
"Boyd, Matthew","571510","49.8","3.9","0.0","36.2","6.1","4.0","","","",""
"Ray, Robbie","592662","42.7","10.0","","30.8","","16.5","","","",""
"Lester, Jon","452657","28.3","10.2","34.2","","11.9","15.4","","","",""
"Miley, Wade","489119","15.8","6.3","47.0","1.0","20.7","9.3","","","",""
"Pérez, Martín","527048","17.5","24.8","30.8","","22.2","4.7","","","",""
"Quintana, Jose","500779","36.3","25.5","","","11.0","21.9","","","","5.3"
"Ryu, Hyun Jin","547943","27.3","13.3","19.4","0.3","27.5","12.2","","","",""
"Matz, Steven","571927","","50.6","","14.5","20.1","14.8","","","",""
"Happ, J.A.","457918","48.4","17.5","","17.4","15.9","0.8","","","",""
"Means, John","607644","50.7","","","14.4","28.9","1.8","","","","4.1"
"Fried, Max","608331","53.1","3.5","0.3","15.9","2.4","24.7","","","",""
"Paxton, James","572020","59.9","","20.0","","1.2","18.9","","","",""
"Smith, Caleb","592761","53.8","","","31.6","14.7","","","","",""
"Anderson, Brett","474463","18.6","43.8","","18.7","13.4","5.5","","","",""
"Lucchesi, Joey","664192","10.8","51.3","2.8","","","35.0","0.1","","",""
"Kikuchi, Yusei","579328","48.9","","","28.0","7.6","15.4","","","",""
"Kershaw, Clayton","477132","43.9","","","39.1","0.6","16.4","","","",""
"Lauer, Eric","641778","53.1","","21.5","8.0","3.6","13.7","","","",""
"Vargas, Jason","450306","27.6","22.2","","","35.1","15.2","","","",""
"Sale, Chris","519242","35.8","10.2","","38.4","15.6","","","","",""
"Hamels, Cole","430935","35.5","12.1","18.6","","21.3","12.5","","","",""
"Norris, Daniel","596057","45.0","6.7","","22.8","19.0","6.5","","","",""
"Duffy, Danny","518633","44.2","8.9","","26.3","11.5","9.0","","","",""
"Smyly, Drew","592767","","47.7","18.3","","4.8","29.2","","","",""
"Yarbrough, Ryan","642232","24.1","0.1","36.7","","25.6","","","","13.5",""
"Brault, Steven","643230","50.6","13.4","14.6","6.0","14.2","1.0","","","",""
"LeBlanc, Wade","453281","5.7","22.1","30.2","","31.1","10.9","","","",""
"Pomeranz, Drew","519141","52.6","8.0","5.8","","1.6","31.9","","","",""
"Snell, Blake","605483","48.4","","","6.7","20.4","24.6","","","",""
"Keuchel, Dallas","572971","5.2","49.0","19.8","11.4","14.5","","","","",""
"Price, David","456034","27.5","26.2","17.3","","26.5","2.5","","","",""
"Beeks, Jalen","656222","44.0","0.1","5.7","","31.4","18.8","","","",""
"Strahm, Matt","621381","35.7","2.7","30.1","","13.9","17.6","","","",""
"Freeland, Kyle","607536","40.7","10.3","31.5","","12.1","5.5","","","",""
"Sabathia, CC","282332","1.3","14.3","42.0","30.2","12.2","","","","",""
"Heaney, Andrew","571760","","57.9","","","15.1","27.0","","","",""
"Milone, Tommy","543548","43.7","","","10.3","38.1","7.8","","","",""
"Montgomery, Mike","543557","13.8","26.8","17.0","","21.2","21.2","","","",""
"Suarez, José","660761","47.2","","","3.4","30.9","18.5","","","",""
"Holland, Derek","502706","","62.1","","29.6","4.1","4.3","","","",""
"González, Gio","461829","26.6","25.2","","","31.8","16.4","","","",""
"Skaggs, Tyler","572140","50.4","","","","15.9","33.7","","","",""
"Urías, Julio","628711","58.5","1.9","","17.3","16.3","6.1","","","",""
"Young, Alex","622065","14.3","22.2","23.3","","20.1","20.1","","","",""
"Ramirez, Nick","598286","20.3","9.8","32.4","","32.0","5.7","","","",""
"Cortes, Nestor","641482","46.7","5.5","","33.9","12.3","1.5","","","",""
"Peters, Dillon","596071","45.4","5.0","","3.9","21.0","24.7","","","",""
"Pannone, Thomas","623381","61.7","","","0.1","15.4","22.9","","","",""
"Diekman, Jake","518617","48.6","5.2","","46.0","0.3","","","","",""
"Newcomb, Sean","656794","65.2","","","8.1","6.9","19.7","","","",""
"Valdez, Framber","664285","18.0","41.2","","","6.6","34.2","","","",""
"Detwiler, Ross","446321","32.6","19.8","15.3","1.9","16.4","14.0","","","",""
"Chen, Wei-Yin","612672","48.1","3.0","","22.7","3.8","22.4","","","",""
"Hader, Josh","623352","","84.3","","15.5","0.3","","","","",""
"Liriano, Francisco","434538","8.5","35.1","","30.4","26.0","","","","",""
"Soto, Gregory","642397","6.1","64.0","","23.8","6.1","","","","",""
"Fry, Paul","643316","52.3","","","46.3","1.4","","","","",""
"Doolittle, Sean","448281","88.2","","","5.8","","","6.1","","",""
"Conley, Adam","543045","61.7","","","13.9","16.9","7.4","","","",""
"Fry, Jace","605240","11.8","12.5","49.5","","7.6","18.6","","","",""
"Osich, Josh","592612","10.2","6.9","66.8","11.4","4.7","","","","",""
"Ryan, Kyle","594986","19.5","30.5","36.9","","0.3","12.8","","","",""
"Smith, Will","519293","46.8","","","42.3","1.8","9.0","","","",""
"Rogers, Taylor","573124","0.1","49.8","","","","32.3","","","17.8",""
"Bummer, Aaron","607481","8.6","67.7","16.5","3.5","0.6","","","","3.3",""
"Martin, Brett","656685","29.0","23.3","","34.0","","13.8","","","",""
"Chapman, Aroldis","547973","58.7","10.0","","31.1","0.1","","","","",""
"Alvarez, Jose","501625","13.5","38.6","7.3","10.9","22.1","7.6","","","",""
"Claudio, Alex","592222","2.0","44.3","","17.6","36.0","0.1","","","",""
"Hill, Rich","448179","51.9","0.7","0.3","","0.8","43.5","","","2.8",""
"Miller, Andrew","453192","38.1","0.5","","61.3","0.1","","","","",""
"Erlin, Robbie","572362","29.6","21.3","","10.2","16.6","22.3","","","",""
"Vázquez, Felipe","553878","59.4","1.7","","16.7","8.0","14.2","","","",""
"Margevicius, Nick","676606","54.1","","","25.3","7.2","13.5","","","",""
"Garrett, Amir","607237","10.7","31.3","","58.0","","","","","",""
"Hand, Brad","543272","42.5","3.4","","","","","","","54.1",""
"Bañuelos, Manny","544365","21.7","26.2","","32.9","8.4","10.9","","","",""
"Britton, Zack","502154","","86.4","","13.6","","","","","",""
"Mayza, Tim","641835","19.2","45.2","","35.6","","","","","",""
"Alexander, Tyler","641302","31.2","23.4","","15.6","11.4","18.4","","","",""
"McFarland, T.J.","519008","0.4","68.0","","15.5","16.0","","","","",""
"Chafin, Andrew","605177","29.9","31.5","","38.6","","","","","",""
"Webb, Tyler","643778","37.2","27.9","","","19.4","15.4","","","",""
"McKay, Brendan","656713","57.2","","13.0","","3.6","26.2","","","",""
"Poche, Colin","621363","88.5","","","10.0","","","1.5","","",""
"Allard, Kolby","663465","46.5","","33.1","","15.1","5.4","","","",""
"Taylor, Josh","657031","46.1","14.4","","37.7","0.1","1.8","","","",""
"Ferguson, Caleb","657571","78.0","","","","0.2","21.7","","","",""
"Watson, Tony","453265","0.5","50.8","","10.6","38.1","","","","",""
