"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Ryu, Hyun Jin","547943","24.6","10.0","24.4","","27.8","13.2","","","",""
"Freeland, Kyle","607536","21.0","12.2","23.6","","24.4","18.9","","","",""
"Boyd, Matthew","571510","50.3","2.4","","22.7","17.2","7.5","","","",""
"Heaney, Andrew","571760","57.8","","","0.4","17.4","24.4","","","",""
"Corbin, Patrick","571578","17.2","34.8","","40.3","5.6","2.1","","","",""
"Ray, Robbie","592662","47.4","3.6","","29.4","2.7","16.9","","","",""
"Gonzales, Marco","594835","45.4","","24.2","","14.3","16.1","","","",""
"Valdez, Framber","664285","3.0","55.2","","","8.4","33.5","","","",""
"Pérez, Martín","527048","15.1","17.7","32.0","","25.8","9.4","","","",""
"Lester, Jon","452657","29.1","15.2","30.5","","12.5","12.8","","","",""
"Minor, Mike","501985","50.7","0.1","","20.7","22.1","6.4","","","",""
"Keuchel, Dallas","572971","2.3","32.3","30.9","6.6","27.9","","","","",""
"Anderson, Tyler","542881","39.0","8.0","18.1","","33.0","1.9","","","",""
"Duffy, Danny","518633","38.5","15.0","","17.2","15.3","14.1","","","",""
"Luzardo, Jesús","666200","31.0","22.2","","22.8","24.0","","","","",""
"Bubic, Kris","663460","54.2","","","","29.9","15.9","","","",""
"Fried, Max","608331","41.8","10.1","","20.7","4.9","22.5","","","",""
"Kershaw, Clayton","477132","40.8","","","40.2","0.2","18.8","","","",""
"Sheffield, Justus","656954","0.9","46.9","","33.5","18.6","","","","",""
"Urías, Julio","628711","55.9","0.5","","5.5","13.3","3.0","","","","21.9"
"Snell, Blake","605483","50.9","","","15.1","19.5","14.4","","","",""
"Yarbrough, Ryan","642232","23.3","","36.0","","30.0","","","","10.7",""
"Peterson, David","656849","37.4","15.8","","25.9","18.7","2.2","","","",""
"Manaea, Sean","640455","","54.1","3.0","12.1","28.4","","","","2.5",""
"Young, Alex","622065","19.8","12.9","21.6","","21.1","24.6","","","",""
"Kikuchi, Yusei","579328","37.7","","40.0","16.0","6.3","","","","",""
"Happ, J.A.","457918","44.3","22.0","","18.7","13.9","1.1","","","",""
"Anderson, Brett","474463","2.1","40.6","11.8","11.0","23.9","10.5","","","",""
"Montgomery, Jordan","656756","19.0","26.6","6.7","","25.6","22.1","","","",""
"Brault, Steven","643230","43.6","7.1","","22.5","24.3","2.5","","","",""
"Means, John","607644","52.3","","","10.3","24.7","12.6","","","",""
"Holland, Derek","502706","3.2","43.5","","","16.0","37.3","","","",""
"Bumgarner, Madison","518516","38.9","0.6","36.6","","1.3","22.7","","","",""
"Milone, Tommy","543548","43.3","2.4","","11.2","39.0","4.0","","","",""
"Margevicius, Nick","676606","64.1","","","15.9","8.5","11.5","","","",""
"Allard, Kolby","663465","46.5","","30.9","","12.5","10.2","","","",""
"Matz, Steven","571927","","53.7","","4.7","26.5","15.0","","","",""
"Hill, Rich","448179","44.1","2.6","3.6","","0.5","46.4","","","2.9",""
"González, Gio","461829","32.8","13.9","","1.3","32.8","19.1","","","",""
"Kim, Kwang Hyun","547942","48.6","","","31.2","8.5","11.7","","","",""
"Alexander, Tyler","641302","20.5","23.4","17.2","20.9","18.0","","","","",""
"Sandoval, Patrick","663776","44.6","","","25.1","22.9","7.4","","","",""
"Skubal, Tarik","669373","58.9","","1.2","15.7","16.4","7.8","","","",""
"Rogers, Trevor","669432","54.2","5.8","","21.8","18.1","","","","",""
"Gomber, Austin","596295","52.5","","","15.8","7.4","24.3","","","",""
"Suter, Brent","608718","71.5","7.6","","","13.8","7.2","","","",""
"Akin, Keegan","669211","62.0","","","10.2","17.4","10.4","","","",""
"Norris, Daniel","596057","47.6","","","21.6","30.6","0.2","","","",""
"Dayton, Grant","594795","60.0","2.9","","","0.4","36.7","","","",""
"Peralta, Wandy","593974","22.5","12.9","","33.2","31.4","","","","",""
"Matzek, Tyler","554431","61.9","","9.5","20.9","","7.7","","","",""
"Smyly, Drew","592767","0.6","45.0","17.8","","","36.5","","","",""
