"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Castano, Daniel","641447","39.0","15.0","","25.7","20.3","","","","",""
"Fleming, Josh","676596","0.9","53.4","29.4","","15.5","0.9","","","",""
"Erlin, Robbie","572362","55.7","0.9","","","16.1","27.3","","","",""
"Shreve, Chasen","592741","51.2","","","7.1","","","40.8","","0.9",""
"Kay, Anthony","641743","56.5","","2.2","","18.1","23.2","","","",""
"Springs, Jeffrey","605488","46.9","","","27.2","25.9","","","","",""
"Minter, A.J.","621345","38.8","","42.6","","18.6","","","","",""
"Cabrera, Génesis","650893","50.4","6.0","","","13.1","30.5","","","",""
"Soto, Gregory","642397","4.6","75.1","","20.3","","","","","",""
"Benjamin, Wes","605138","49.4","0.8","23.4","","12.1","14.4","","","",""
"Fry, Paul","643316","53.2","","","45.7","1.1","","","","",""
"Turley, Nik","543867","55.5","","","","","44.5","","","",""
"Hader, Josh","623352","","67.7","","32.3","","","","","",""
"Thielbar, Caleb","573204","54.4","","","3.8","","25.3","","","16.4",""
"LeBlanc, Wade","453281","4.9","19.1","27.8","","34.9","13.4","","","",""
"Hand, Brad","543272","33.9","14.0","","","","0.6","","","51.5",""
"Howard, Sam","607572","37.4","","","62.3","0.3","","","","",""
"Selman, Sam","572125","40.4","0.6","","59.0","","","","","",""
"Rogers, Taylor","573124","1.1","53.4","","","","","","","45.5",""
"Paxton, James","572020","56.7","","14.9","","12.6","15.7","","","",""
"Diekman, Jake","518617","55.1","4.2","","","0.3","","","","40.4",""
"Hearn, Taylor","621368","60.2","0.3","","28.1","11.4","","","","",""
"Baragar, Caleb","670056","74.5","0.6","","12.3","0.3","12.3","","","",""
"Hill, Tim","657612","44.0","46.0","","10.1","","","","","",""
"Webb, Tyler","643778","39.3","20.5","","","23.7","16.5","","","",""
"Scott, Tanner","656945","59.4","1.7","","38.8","","","","","",""
"Wilson, Justin","458677","57.7","1.4","37.4","3.5","","","","","",""
"Taylor, Blake","642130","76.5","","","22.6","0.9","","","","",""
"Loup, Aaron","571901","","49.9","31.1","","8.8","10.3","","","",""
"Fry, Jace","605240","10.0","28.6","39.5","","4.4","17.4","","","",""
"Raley, Brooks","548384","11.9","11.3","45.5","","3.3","11.0","","","17.0",""
"McGee, Jake","459429","96.4","0.6","","3.0","","","","","",""
"Claudio, Alex","592222","4.8","34.4","","22.7","38.1","","","","",""
"McFarland, T.J.","519008","","59.8","","20.5","16.6","","","","3.0",""
"Misiewicz, Anthony","664948","24.1","","52.7","","","23.2","","","",""
"Beeks, Jalen","656222","42.1","","14.2","","43.7","","","","",""
"Pomeranz, Drew","519141","79.6","","","","","20.4","","","",""
"Borucki, Ryan","621366","","47.8","","37.9","14.3","","","","",""
"Morejon, Adrian","670970","56.2","","","11.2","","14.3","","17.4","0.9",""
"Detwiler, Ross","446321","27.7","29.3","2.6","27.7","9.3","3.5","","","",""
"Strahm, Matt","621381","30.5","25.3","11.4","","10.4","22.4","","","",""
"Ferguson, Caleb","657571","79.3","","20.4","","0.3","","","","",""
"Osich, Josh","592612","22.7","13.8","48.4","15.1","","","","","",""
"Newcomb, Sean","656794","54.0","","0.3","8.0","20.0","17.7","","","",""
