"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Ray, Robbie","592662","39.3","20.9","","37.2","0.7","1.9","","","",""
"Valdez, Framber","664285","2.6","49.9","","10.1","9.2","28.2","","","",""
"Rodón, Carlos","607074","60.9","0.3","","31.1","2.0","5.7","","","",""
"Pérez, Martín","527048","6.7","36.5","24.3","1.4","27.6","3.5","","","",""
"Freeland, Kyle","607536","23.4","22.1","22.5","","13.8","18.2","","","",""
"Gonzales, Marco","594835","32.5","4.1","19.5","","30.5","13.4","","","",""
"Fried, Max","608331","31.4","14.4","","18.4","14.1","21.5","","","0.1",""
"Quintana, Jose","500779","36.0","16.4","","","19.5","22.0","","","","6.2"
"Montgomery, Jordan","656756","16.5","35.2","3.8","","22.2","22.3","","","",""
"Bumgarner, Madison","518516","32.0","1.5","36.3","0.2","11.3","18.7","","","",""
"Lauer, Eric","641778","44.2","0.3","20.0","16.8","3.1","15.7","","","",""
"Corbin, Patrick","571578","16.1","46.2","","29.4","8.3","0.0","","","",""
"Urías, Julio","628711","49.2","","","","17.5","","","","","33.3"
"Irvin, Cole","608344","36.3","22.7","2.0","","18.3","20.7","","","",""
"Anderson, Tyler","542881","39.7","5.4","22.0","","31.6","1.2","","","",""
"Suárez, Ranger","624133","17.9","39.9","9.4","3.5","21.4","7.8","","","",""
"Manaea, Sean","640455","45.2","15.7","","13.1","24.6","0.1","","","1.3",""
"Cortes, Nestor","641482","46.9","0.0","29.8","","4.4","0.3","","","18.6",""
"McClanahan, Shane","663556","35.6","","","15.4","25.4","23.5","","","",""
"Sandoval, Patrick","663776","22.7","14.3","","29.2","24.6","9.2","","","",""
"Lynch IV, Daniel","663738","43.2","3.0","","29.6","18.2","6.0","","","",""
"Snell, Blake","605483","55.5","","","24.3","5.0","15.1","","","",""
"Bubic, Kris","663460","50.4","0.1","","","27.8","21.7","","","",""
"Wood, Alex","622072","0.4","45.1","","35.9","18.6","","","","",""
"Detmers, Reid","672282","43.7","1.3","","24.0","11.3","18.2","","","1.6",""
"Springs, Jeffrey","605488","40.4","0.1","","24.8","34.7","","","","",""
"Gomber, Austin","596295","40.6","0.1","","24.6","17.6","17.1","","","",""
"Steele, Justin","657006","56.2","8.0","","31.1","2.1","2.6","","","",""
"Hill, Rich","448179","35.7","","12.9","","4.2","36.5","","","10.6",""
"Rogers, Trevor","669432","52.7","0.3","","17.8","29.2","","","","",""
"Skubal, Tarik","669373","26.6","21.2","","30.9","14.9","6.4","","","",""
"Peterson, David","656849","37.9","11.5","","29.1","16.5","5.0","","","",""
"Ashby, Aaron","676879","3.3","34.0","","29.2","20.7","12.7","","","",""
"Kikuchi, Yusei","579328","50.5","0.1","5.4","30.3","13.4","0.3","","","",""
"Kershaw, Clayton","477132","40.0","0.4","","42.7","0.6","16.3","","","",""
"Hearn, Taylor","621368","48.0","14.7","1.6","27.0","8.7","","","","",""
"Suarez, José","660761","34.2","8.4","","19.5","24.4","12.7","","","0.9",""
"Minor, Mike","501985","41.3","0.3","","24.9","23.1","10.4","","","",""
"Smyly, Drew","592767","0.2","36.8","19.7","","0.3","42.9","","","",""
"Lodolo, Nick","666157","30.1","28.9","","","10.4","30.6","","","",""
"Luzardo, Jesús","666200","29.1","18.2","","30.1","22.6","","","","",""
"Alexander, Tyler","641302","23.4","19.5","27.7","0.9","18.5","","","","9.9",""
"Rodriguez, Eduardo","593958","35.5","19.8","24.4","4.1","16.2","","","","",""
"Garrett, Braxton","666129","24.2","23.3","0.3","32.0","9.8","10.4","","","",""
"Yarbrough, Ryan","642232","18.6","0.1","30.3","","23.9","","","","26.9","0.1"
