"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Ray, Robbie","592662","59.2","0.3","","30.8","3.6","6.1","","","",""
"Manaea, Sean","640455","0.7","59.4","","14.9","24.3","","","","0.7",""
"Urías, Julio","628711","48.3","0.1","","","17.3","","","","","34.2"
"Corbin, Patrick","571578","27.6","28.7","","38.4","4.2","1.0","","","",""
"Keuchel, Dallas","572971","2.1","37.9","24.4","7.0","28.6","","","","",""
"Rodriguez, Eduardo","593958","39.9","11.2","17.7","8.1","23.1","","","","",""
"Ryu, Hyun Jin","547943","34.9","1.4","25.4","0.5","25.3","12.5","","","",""
"Irvin, Cole","608344","40.6","19.1","0.5","14.5","22.0","3.3","","","",""
"Happ, J.A.","457918","54.0","17.7","","15.1","12.0","1.3","","","",""
"Minor, Mike","501985","42.8","0.1","","21.9","19.5","15.7","","","",""
"Anderson, Tyler","542881","37.3","10.3","26.2","0.9","24.6","0.7","","","",""
"Miley, Wade","489119","16.2","1.2","46.5","5.2","27.3","3.5","","","",""
"Montgomery, Jordan","656756","16.2","21.9","13.8","","24.4","23.7","","","",""
"Kikuchi, Yusei","579328","35.8","","32.9","20.2","10.7","0.4","","","",""
"Fried, Max","608331","38.8","11.4","","21.5","2.2","25.6","","","0.5",""
"Matz, Steven","571927","","51.9","","8.2","23.2","16.6","","","",""
"Skubal, Tarik","669373","42.9","12.9","0.3","22.8","12.0","6.9","2.3","","",""
"Hill, Rich","448179","47.1","2.4","2.8","0.5","3.0","37.8","","","6.5",""
"Yarbrough, Ryan","642232","12.6","0.9","40.5","","28.0","","","","18.0",""
"Lester, Jon","452657","31.1","16.7","25.6","","18.2","8.4","","","",""
"Snell, Blake","605483","52.5","","","24.2","9.8","13.5","","","",""
"Means, John","607644","47.9","","","8.4","27.2","16.4","","","","0.0"
"Gonzales, Marco","594835","50.3","","14.3","","20.1","15.4","","","",""
"Bumgarner, Madison","518516","33.1","3.2","34.2","","7.8","21.7","","","",""
"Heaney, Andrew","571760","59.4","","","1.8","18.0","20.8","","","",""
"Rodón, Carlos","607074","58.7","","","27.2","12.4","1.7","","","",""
"Bubic, Kris","663460","52.0","","","","30.8","17.2","","","",""
"Wood, Alex","622072","","46.4","","31.6","22.0","","","","",""
"Rogers, Trevor","669432","57.7","0.0","","14.8","27.4","","","","",""
"Smyly, Drew","592767","","46.5","11.5","","","42.0","","","",""
"Valdez, Framber","664285","5.0","52.1","","","12.1","30.8","","","",""
"Smith, Caleb","592761","48.1","","","29.6","14.7","7.5","","","",""
"Allard, Kolby","663465","47.9","0.3","23.9","","16.8","11.1","","","",""
"Lauer, Eric","641778","43.9","","18.3","12.1","11.3","14.5","","","",""
"McClanahan, Shane","663556","40.9","","","34.2","8.0","16.8","","","",""
"Freeland, Kyle","607536","25.5","15.1","22.8","","16.8","19.9","","","",""
"Pérez, Martín","527048","13.1","25.2","28.9","","24.3","8.4","","","",""
"Gomber, Austin","596295","40.7","","","24.3","19.4","15.6","","","",""
"Kershaw, Clayton","477132","36.8","","","47.5","0.6","15.1","","","",""
"Kim, Kwang Hyun","547942","41.0","0.8","","37.6","11.8","8.9","","","",""
"Akin, Keegan","669211","57.2","","","19.8","19.5","3.6","","","",""
"Luzardo, Jesús","666200","33.5","17.6","","28.8","20.0","","","","",""
"Hearn, Taylor","621368","46.3","21.2","0.2","19.9","12.4","","","","",""
"Alexander, Tyler","641302","15.1","20.7","36.3","9.5","18.4","0.1","","","",""
"Fleming, Josh","676596","0.5","45.7","27.0","","22.0","4.7","","","",""
"Weathers, Ryan","677960","54.1","7.8","","30.6","7.5","","","","",""
"Suárez, Ranger","624133","22.7","45.4","","7.8","24.1","","","","",""
"Suarez, José","660761","40.7","7.0","","","28.6","23.7","","","",""
"Cortes, Nestor","641482","42.8","4.0","23.5","0.3","9.6","","","","19.8",""
"Anderson, Brett","474463","0.7","45.0","8.2","7.4","25.7","13.1","","","",""
"Sheffield, Justus","656954","0.7","46.3","","32.1","20.8","","","","",""
"Sandoval, Patrick","663776","24.4","18.6","","17.0","29.6","10.1","","","0.3",""
"Boyd, Matthew","571510","42.0","5.5","","22.4","22.5","7.6","","","",""
"Hentges, Sam","656529","41.3","9.3","","24.0","0.5","24.9","","","",""
"Lynch IV, Daniel","663738","40.5","11.9","","28.6","16.3","2.7","","","",""
"Moore, Matt","519043","56.5","","8.9","","19.3","15.3","","","",""
"Luetge, Lucas","476595","0.1","","62.1","22.3","","15.2","","","0.2",""
"Quintana, Jose","500779","40.8","17.8","","","14.6","14.4","","","","12.4"
"Suter, Brent","608718","72.3","4.3","","9.7","9.5","4.1","","","",""
"Cabrera, Génesis","650893","45.1","19.1","","","16.9","18.9","","","",""
"Price, David","456034","18.3","34.5","20.2","","25.0","2.0","","","",""
"Soto, Gregory","642397","7.7","54.7","","37.6","","","","","",""
"Peterson, David","656849","29.7","29.0","","23.6","16.3","1.4","","","",""
"Diekman, Jake","518617","58.8","8.1","","","0.7","","","","32.4",""
"Thielbar, Caleb","573204","49.0","","","","0.3","16.4","","","34.4",""
"Zimmermann, Bruce","669145","42.2","","","18.7","25.8","13.3","","","",""
"Brentz, Jake","641394","58.6","0.9","","27.9","12.7","","","","",""
"Smith, Will","519293","47.3","","","41.1","","11.6","","","",""
"Hand, Brad","543272","41.3","16.2","","","","","","","42.6",""
"Matzek, Tyler","554431","70.7","","","27.0","","2.3","","","",""
"Alvarado, José","621237","3.2","77.2","16.3","","","3.3","","","",""
"Scott, Tanner","656945","45.4","3.0","","51.6","","","","","",""
"Duffy, Danny","518633","42.8","12.8","","18.2","15.4","10.8","","","",""
"Chapman, Aroldis","547973","56.6","5.7","","26.7","","","11.1","","",""
"García, Jarlín","606424","48.9","1.1","","25.4","24.6","","","","",""
"Brothers, Rex","571521","65.5","","","34.5","","","","","",""
"Norris, Daniel","596057","47.5","","","22.7","29.9","","","","",""
"Alvarez, Jose","501625","12.5","45.6","3.7","10.2","28.0","","","","",""
"Steele, Justin","657006","45.2","20.6","","16.5","2.1","15.6","","","",""
"Hader, Josh","623352","0.1","65.4","","27.8","6.7","","","","",""
"Hill, Tim","657612","49.8","34.7","0.2","15.1","0.2","","","","",""
"Bummer, Aaron","607481","","62.0","7.8","","0.6","","","","29.6",""
"Chafin, Andrew","605177","29.7","43.8","","26.4","0.1","","","","",""
"Shreve, Chasen","592741","40.2","","","22.5","","","36.9","","0.4",""
"Martin, Brett","656685","24.1","30.3","","24.5","","21.1","","","",""
