"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Crochet, Garrett","676979","64.2","","","3.2","8.0","","","","24.7",""
"Young, Alex","622065","13.9","25.3","22.6","","19.2","19.0","","","",""
"Misiewicz, Anthony","664948","35.3","","33.4","0.1","","31.1","","","",""
"Detwiler, Ross","446321","33.9","17.3","36.8","","4.4","7.5","","","",""
"McGee, Jake","459429","90.1","","","9.9","","","","","",""
"Minter, A.J.","621345","42.5","","44.2","","13.4","","","","",""
"Allen, Logan","663531","41.9","1.5","0.5","2.3","16.1","8.8","","","28.9",""
"Fry, Paul","643316","54.5","","","45.0","0.6","","","","",""
"Watson, Tony","453265","25.2","17.4","","24.1","33.3","","","","",""
"Doolittle, Sean","448281","81.1","","","5.4","","9.0","4.5","","",""
"Raley, Brooks","548384","7.3","14.9","32.4","","3.8","13.1","","","28.6",""
"Howard, Sam","607572","43.3","","","55.0","1.8","","","","",""
"Mayza, Tim","641835","0.2","71.0","","28.8","","","","","",""
"Holland, Derek","502706","9.8","46.8","","","9.6","33.8","","","",""
"Loup, Aaron","571901","","51.9","32.9","","8.6","6.6","","","",""
"Garrett, Amir","607237","47.2","1.7","","51.1","","","","","",""
