"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Cole, Gerrit","543037","51.8","0.1","6.4","22.6","8.4","10.8","","","",""
"Burnes, Corbin","669203","0.2","7.0","55.4","9.1","9.9","18.4","","","",""
"Alcantara, Sandy","645261","25.5","24.6","","22.0","27.5","0.3","","","",""
"Mikolas, Miles","571945","27.1","22.4","","25.4","3.9","21.1","","","",""
"Wainwright, Adam","425794","9.3","27.9","25.0","0.1","6.0","31.7","","","",""
"Cease, Dylan","656302","39.9","0.8","","42.9","2.4","13.9","","","",""
"Pivetta, Nick","601713","51.0","","16.9","2.8","0.0","27.0","2.2","","",""
"Kelly, Merrill","518876","30.8","17.6","16.6","0.2","21.3","13.5","","","",""
"Nola, Aaron","605400","33.6","18.6","6.5","","14.7","26.5","","","",""
"Gilbert, Logan","669302","53.8","1.5","","24.2","8.0","12.5","","","",""
"Webb, Logan","657277","3.9","32.2","","","31.1","","","","32.7",""
"Lyles, Jordan","543475","32.1","17.2","2.6","","10.6","13.4","","","24.0",""
"Darvish, Yu","506433","25.5","8.5","4.3","31.5","","7.3","7.4","","15.4",""
"Manoah, Alek","666201","35.8","26.0","","27.1","11.2","","","","",""
"Gallen, Zac","668678","48.0","0.0","14.9","0.9","14.2","21.9","","","",""
"Quantrill, Cal","615698","9.7","38.2","36.0","","11.9","4.3","","","",""
"López, Pablo","641154","38.9","8.1","9.6","","35.4","8.1","","","",""
"Morton, Charlie","450203","33.5","10.6","9.3","","8.5","38.0","","","",""
"Bassitt, Chris","605135","13.2","33.4","17.3","8.0","6.1","13.9","","","8.2",""
"Bieber, Shane","669456","34.4","0.0","15.8","29.5","2.3","17.9","","","",""
"Márquez, Germán","608566","30.9","23.1","","20.9","3.0","22.1","","","",""
"Musgrove, Joe","605397","24.0","6.8","19.5","24.6","6.3","18.9","","","",""
"McKenzie, Triston","663474","56.1","","","21.9","","21.9","","","",""
"Taillon, Jameson","592791","35.6","11.0","11.3","18.7","8.4","14.8","","","0.1",""
"Gausman, Kevin","592332","48.8","","","14.4","1.3","","35.5","","",""
"Giolito, Lucas","608337","47.7","0.0","","23.6","25.5","3.2","","","",""
"Gibson, Kyle","502043","12.0","28.0","21.5","17.1","10.8","7.0","","","3.6",""
"Berríos, José","621244","28.3","25.4","","","15.4","","","","","30.9"
"Wright, Kyle","657140","19.2","24.0","","7.2","15.5","34.1","","","",""
"Keller, Mitch","656605","32.4","23.2","","6.3","6.5","15.4","","","16.2",""
"Urquidy, José","664353","52.5","0.2","4.8","","14.8","14.1","","","13.5",""
"Ohtani, Shohei","660271","27.3","3.7","8.9","2.4","","8.5","11.9","","37.4",""
"Verlander, Justin","434378","50.4","0.0","","28.3","2.4","18.8","","","",""
"Gray, Josiah","680686","38.4","4.5","0.5","29.0","2.8","24.8","","","",""
"Javier, Cristian","664299","59.8","0.1","","","4.1","8.3","","","27.6",""
"Dunning, Dane","641540","0.2","39.7","11.9","26.6","20.2","0.0","","","1.3",""
"Woodruff, Brandon","605540","38.3","21.6","","11.3","16.3","12.6","","","",""
"Castillo, Luis","622491","32.9","23.8","","21.1","22.3","","","","",""
"Walker, Taijuan","592836","29.7","11.1","6.8","16.0","","8.7","27.6","","0.1",""
"Garcia, Luis","677651","41.9","0.5","29.7","","9.2","10.1","","","8.6",""
"Kluber, Corey","446372","1.5","26.7","34.2","","10.3","27.3","","","",""
"Fedde, Erick","607200","0.1","39.8","27.6","","3.6","28.8","","","",""
"Cobb, Alex","502171","0.3","41.8","","0.0","","15.3","42.5","","",""
"Carrasco, Carlos","471911","35.4","11.4","","24.5","24.6","4.1","","","",""
"Ryan, Joe","657746","60.1","0.2","","16.9","10.0","6.8","2.3","","3.7",""
"Brubaker, JT","664141","5.7","42.2","","31.0","5.1","16.0","","","",""
"Singer, Brady","663903","0.5","53.8","","38.0","7.7","","","","",""
"Cueto, Johnny","456501","19.0","24.0","19.8","16.4","20.1","0.6","","","",""
"Kuhl, Chad","641771","3.3","41.4","","36.7","7.2","11.5","","","",""
"Wheeler, Zack","554430","42.3","17.1","26.9","","1.8","11.9","","","",""
"Montas, Frankie","593423","28.3","22.3","8.5","15.4","","","25.5","","",""
"Davies, Zach","605200","16.5","37.8","5.6","1.0","33.3","5.8","","","",""
"Strider, Spencer","675911","67.0","","","28.2","4.8","","","","",""
"Keller, Brad","641745","35.3","22.8","","36.2","5.8","","","","",""
"Greinke, Zack","425844","38.2","2.4","15.3","7.4","16.5","20.3","","","",""
"Hudson, Dakota","641712","20.3","35.8","","26.3","4.0","13.6","","","",""
"Rasmussen, Drew","656876","35.7","3.9","32.5","0.5","","4.4","","","23.0",""
"Kaprielian, James","621076","48.4","6.0","0.1","22.8","10.1","12.5","","","",""
"Otto, Glenn","657248","22.3","27.6","","","7.5","15.0","","","27.5",""
"Flexen, Chris","623167","39.5","0.0","32.4","6.1","16.1","3.6","","","2.2",""
"Greene, Hunter","668881","53.5","0.2","","41.0","5.3","","","","",""
"Stroman, Marcus","573186","8.2","40.5","10.5","5.1","","","12.0","","","23.8"
"Bundy, Dylan","605164","40.1","6.6","","24.0","18.7","10.6","","","",""
"Scherzer, Max","453286","45.4","","9.1","23.7","12.6","9.2","","","",""
"Plesac, Zach","668676","43.4","0.1","","24.3","21.8","10.4","","","",""
"Mahle, Tyler","641816","51.8","0.2","12.9","11.4","","","23.6","","",""
"Kirby, George","669923","45.7","11.9","12.2","8.9","8.0","13.3","","","",""
"Thompson, Zach","605507","16.5","20.8","33.3","","8.5","20.9","","","",""
"Gray, Jon","592351","49.7","0.8","","0.5","9.3","4.1","","","35.5",""
"Stripling, Ross","548389","33.9","7.3","","21.9","27.2","9.6","","","",""
"Lynn, Lance","458681","44.9","14.1","26.1","2.5","3.8","8.6","","","",""
"Syndergaard, Noah","592789","14.9","32.0","1.6","17.4","19.7","14.3","0.0","","",""
"Gonsolin, Tony","664062","39.1","0.1","","21.4","","11.9","27.5","","",""
"Kopech, Michael","656629","61.5","0.2","","25.1","1.2","11.9","","","",""
"Anderson, Ian","666120","48.0","","","","33.4","18.7","","","",""
"Bradish, Kyle","680694","44.3","4.5","","29.8","8.5","12.9","","","",""
"Wacha, Michael","608379","32.1","13.4","17.3","","29.7","7.4","","","",""
"Kremer, Dean","665152","33.4","8.1","30.9","","14.9","12.3","0.5","","",""
"Clevinger, Mike","605182","36.9","15.0","14.6","","9.5","3.3","","","20.7",""
"Thompson, Keegan","624522","46.5","5.5","21.5","","4.7","17.5","","","4.2",""
"Espino, Paolo","502179","48.0","","","0.1","4.7","25.9","","","21.3",""
"Gray, Sonny","543243","28.2","26.0","0.1","9.9","1.0","24.6","","","10.3",""
"Houser, Adrian","605288","18.0","47.5","","13.4","9.4","11.7","","","",""
"Wilson, Bryse","669060","24.2","32.3","3.9","11.1","9.5","13.6","5.4","","",""
"Junis, Jakob","596001","0.4","32.0","1.1","50.5","16.0","","","","",""
"Odorizzi, Jake","543606","38.5","12.7","21.2","7.2","","3.8","16.6","","",""
"Heasley, Jonathan","669169","49.1","0.1","","12.5","21.3","17.0","","","",""
"Archer, Chris","502042","35.7","","","44.3","14.7","5.3","","","",""
"Voth, Austin","608723","41.2","0.1","21.6","","0.7","31.4","","","5.0",""
"Blackburn, Paul","621112","11.6","33.9","19.5","","12.7","17.6","","","4.7",""
"Hutchison, Drew","571800","40.4","12.2","","37.1","10.2","","","","",""
"Ashcraft, Graham","668933","0.4","20.7","51.1","27.1","0.7","","","","",""
"Pallante, Andre","669467","52.9","10.6","","19.6","0.1","16.8","","","",""
"Eovaldi, Nathan","543135","38.2","0.2","10.1","12.2","","18.5","20.9","","",""
"Martinez, Nick","607259","24.8","16.1","17.7","","25.5","15.9","","","",""
"White, Mitch","669952","44.4","7.5","","0.1","3.7","17.1","","","27.2",""
"Sampson, Adrian","592716","31.2","34.3","5.3","15.8","13.4","","","","",""
"Feltner, Ryan","663372","35.5","20.0","","26.6","6.2","9.6","","","2.1",""
"Lorenzen, Michael","547179","20.3","23.7","11.0","4.4","22.2","2.1","","","16.2",""
"Wells, Tyler","669330","41.6","","27.2","","18.4","7.0","","","5.9",""
"Watkins, Spenser","657093","38.2","1.9","28.1","0.1","4.3","9.7","","","17.6",""
"Ureña, José","570632","6.8","52.7","","24.5","16.0","","","","",""
"Severino, Luis","622663","48.6","0.6","8.0","20.4","22.4","","","","",""
"Civale, Aaron","650644","8.9","21.6","35.0","1.8","","27.5","3.6","","1.5",""
"Contreras, Roansy","672710","48.5","","","34.5","2.9","14.1","","","",""
"Senzatela, Antonio","622608","53.3","5.8","","27.1","7.4","6.5","","","",""
"Williams, Trevor","592866","52.9","12.5","","11.7","13.1","9.7","","","",""
"Crowe, Wil","640444","15.9","21.7","","31.2","28.1","3.0","","","0.1",""
"Peralta, Freddy","642547","54.9","","","18.5","10.4","16.2","","","",""
"Hendricks, Kyle","543294","26.5","31.0","","","30.7","11.9","","","",""
"Crawford, Kutter","676710","38.5","","31.9","5.4","5.1","16.9","2.2","","",""
"Oller, Adam","670124","37.5","5.6","24.7","9.3","12.4","9.0","","","","1.5"
"Brieske, Beau","689225","45.4","7.9","","20.7","22.1","3.8","","","",""
"Velasquez, Vince","592826","44.3","7.5","","22.6","8.9","16.6","","","",""
"Cessa, Luis","570666","20.4","21.6","","38.9","19.0","","","","",""
"Sánchez, Aníbal","434671","17.5","18.4","27.3","5.7","25.6","5.6","","","",""
"Ramírez, Erasmo","541640","4.7","39.2","45.9","","3.4","6.7","","","",""
"Cabrera, Edward","665795","20.0","11.7","","15.1","32.3","21.0","","","",""
"Coleman, Dylan","669395","57.0","0.5","","13.4","","","","","29.1",""
"Nelson, Nick","656793","42.9","0.1","","24.2","29.2","3.6","","","",""
"Adon, Joan","672851","63.5","5.8","","0.7","6.8","23.2","","","",""
"Chavez, Jesse","445926","0.5","26.3","58.6","","12.9","1.7","","","",""
"Barlow, Scott","605130","24.0","0.3","","44.6","","31.1","","","",""
"Eflin, Zach","621107","15.6","39.8","15.0","3.4","6.1","20.1","","","",""
"Winckowski, Josh","670174","12.7","35.8","11.0","28.0","12.6","","","","",""
"Baker, Bryan","641329","56.1","","","26.4","17.4","","","","",""
"Cishek, Steve","518553","28.3","34.1","","37.1","0.4","","","","",""
"De Jong, Chase","608328","46.8","","","29.2","0.9","22.9","0.1","","",""
"Rogers, Tyler","643511","2.8","51.1","","46.1","","","","","",""
"Whitlock, Garrett","676477","12.1","50.1","","16.7","19.8","","","","1.3",""
"Richards, Trevor","670950","44.0","","","18.4","37.6","","","","",""
"López, Jorge","605347","5.2","49.8","","10.7","15.6","18.8","","","",""
"Alexander, Jason","669920","4.8","56.3","","","15.7","","","","23.2",""
"Jax, Griffin","643377","33.6","0.1","","","13.7","4.2","","","48.4",""
"Phelps, David","475479","29.7","11.7","24.7","","7.5","26.4","","","",""
"Wick, Rowan","592858","55.8","0.2","17.2","5.3","0.1","21.4","","","",""
"Pagán, Emilio","641941","51.7","","19.2","2.0","","2.5","24.7","","",""
"Barria, Jaime","642545","15.2","24.0","","47.1","13.7","","","","",""
"Doval, Camilo","666808","","26.0","30.3","43.6","","","","","",""
"Ruiz, José","614179","47.5","0.4","","","22.7","29.4","","","",""
"Winder, Josh","680739","40.4","","","33.4","14.2","12.0","","","",""
"Stratton, Chris","608717","43.1","1.8","","19.2","7.0","28.9","","","",""
"Hernández, Elieser","622694","44.0","6.4","","36.1","13.5","","","","",""
"Montero, Rafael","606160","45.7","22.8","","12.2","19.4","","","","",""
"Brebbia, John","605154","45.8","0.4","","53.8","","","","","",""
"Boxberger, Brad","502202","55.0","","","22.5","22.6","","","","",""
"Maton, Phil","664208","42.3","6.8","1.2","","0.1","31.6","","","18.0",""
"McHugh, Collin","543521","0.8","","47.5","","","3.4","","","48.3",""
"Leiter Jr., Mark","643410","22.8","23.0","9.7","5.2","","16.7","22.7","","",""
"Vest, Will","676684","56.0","0.2","","33.2","10.5","","","","",""
"Strickland, Hunter","519326","51.6","5.8","0.2","38.8","3.6","","","","",""
"Germán, Domingo","593334","27.5","12.0","","","23.2","37.3","","","",""
"Lugo, Seth","607625","29.4","21.4","","13.5","1.7","34.0","","","",""
"Kimbrel, Craig","518886","68.5","","","","","26.4","","","5.1",""
"Tate, Dillon","622253","","51.3","","0.2","23.8","","","","24.8",""
"Beede, Tyler","595881","23.0","23.8","","15.3","26.4","11.5","","","",""
"Williams, Devin","642207","37.7","","0.7","3.5","58.1","","","","",""
"Crismatt, Nabil","622503","23.1","5.9","","0.5","50.1","20.4","","","",""
"Ottavino, Adam","493603","12.3","32.6","5.2","","7.1","","","","42.8",""
"Díaz, Alexis","664747","64.6","0.1","","35.2","","0.1","","","",""
"Robertson, David","502085","","","51.0","22.2","","26.7","","","",""
"Finnegan, Kyle","640448","78.8","","","12.3","","","8.9","","",""
"Hicks, Jordan","663855","1.2","64.6","","0.4","2.5","","0.1","","31.2",""
"Armstrong, Shawn","542888","28.9","35.6","28.4","","","","","","0.4","6.7"
"Lange, Alex","656638","2.0","29.7","","","19.5","48.8","","","",""
"Buehler, Walker","621111","34.7","4.1","25.0","","7.8","16.8","","","11.5",""
"Fulmer, Michael","605242","15.3","13.2","63.3","","6.0","2.1","","","",""
"Cimber, Adam","643256","34.8","29.8","","35.4","","","","","",""
"Martin, Davis","663436","46.3","","","32.3","10.8","10.6","","","",""
"García, Yimi","554340","44.4","14.0","","17.5","7.3","16.8","","","",""
"Graveman, Kendall","608665","12.6","42.5","","27.8","13.5","3.6","","","",""
"Hernández, Carlos","672578","49.6","0.5","","16.9","","22.8","10.2","","",""
"Stephan, Trevor","663986","47.4","","","24.8","","","27.7","","",""
"Muñoz, Andrés","662253","35.1","0.3","","64.6","","","","","",""
"Duran, Jhoan","661395","49.3","0.3","","3.0","","31.4","16.0","","",""
"Givens, Mychal","571710","51.4","0.1","","29.8","18.7","","","","",""
"Estévez, Carlos","608032","70.4","0.2","","14.8","14.5","0.1","","","",""
"Schreiber, John","670167","29.6","25.2","","","7.5","","","","37.7",""
"Abreu, Bryan","650556","45.0","0.4","","44.2","0.3","10.1","","","",""
"Hill, Garrett","682051","46.2","13.1","","18.4","11.6","10.7","","","",""
"Morgan, Eli","669212","55.2","","0.1","15.8","27.8","1.1","","","",""
"Martínez, Adrián","661309","50.3","","","22.1","27.6","","","","",""
"Edwards Jr., Carl","605218","67.7","0.1","","","9.7","22.6","","","",""
"Neris, Héctor","593576","42.2","20.4","","6.6","","","30.8","","",""
"Jansen, Kenley","445276","","21.9","65.0","13.1","","","","","",""
"Sanchez, Aaron","592717","20.6","40.3","","","10.7","28.4","","","",""
"Acevedo, Domingo","642758","43.3","","","34.6","22.1","","","","",""
"Underwood Jr., Duane","621249","11.6","26.3","27.0","","21.7","13.4","","","",""
"Murfee, Penn","682171","40.6","8.4","","","","","","","51.0",""
"Bello, Brayan","678394","18.7","35.2","","22.0","23.7","0.5","","","",""
"Machado, Andrés","600921","30.5","33.9","","20.0","15.6","","","","",""
"Herget, Jimmy","623474","3.7","27.7","","34.1","7.4","27.0","","","",""
"Bautista, Félix","642585","3.1","58.2","","12.3","","","26.4","","",""
"Santana, Dennis","642701","7.3","39.0","","40.5","13.3","","","","",""
"Manning, Matt","666159","51.1","8.0","","1.7","7.5","10.5","","","21.2",""
"Bickford, Phil","641360","68.0","","","31.9","0.1","","","","",""
"Romano, Jordan","605447","48.1","0.1","","51.8","","","","","",""
"Gallegos, Giovanny","606149","47.7","0.2","","47.2","5.0","","","","",""
"Bass, Anthony","542914","9.8","30.4","","55.8","","","4.0","","",""
"López, Reynaldo","625643","55.0","","","32.3","4.8","7.9","","","",""
"Brasier, Ryan","518489","44.0","11.8","","42.9","1.3","","","","",""
"Oviedo, Johan","670912","43.4","","","39.7","5.5","11.4","","","",""
"Iglesias, Raisel","628452","36.5","13.5","","26.0","24.0","","","","",""
"Krehbiel, Joey","607216","34.7","","28.1","4.0","33.2","","","","",""
"Holmes, Clay","605280","","80.2","","6.6","","","","","13.2",""
"Sewald, Paul","623149","50.9","0.5","","","","","","","48.6",""
"Shaw, Bryan","543766","0.6","5.5","74.7","2.0","2.9","8.4","0.7","","5.3",""
"Faedo, Alex","656412","51.8","0.2","","35.0","13.0","","","","",""
"García, Luis","472610","2.2","52.8","","3.7","","","12.9","","28.4",""
"Bellatti, Andrew","571479","40.4","","","52.4","7.2","","","","",""
"Helsley, Ryan","664854","57.0","","","31.9","0.6","10.5","","","",""
"Foley, Jason","671345","7.7","61.9","","16.2","6.9","","","","7.3",""
"Trivino, Lou","642152","18.1","29.6","15.5","","10.7","2.3","","","23.8",""
"Bard, Daniel","453268","2.5","52.4","","42.5","2.4","","","","","0.2"
"Payamps, Joel","606303","27.4","22.8","","36.1","13.7","","","","",""
"Hendriks, Liam","521230","60.4","0.1","","28.9","","10.5","","","",""
"Stephens, Jackson","623451","35.9","22.1","","3.5","9.6","28.8","","","",""
"Adam, Jason","592094","32.1","","","","32.2","","","","35.8",""
"deGrom, Jacob","594798","47.4","","","39.3","8.2","5.1","","","",""
"Jiménez, Joe","641729","63.5","0.2","","30.8","5.4","","","","",""
"Brash, Matt","666374","35.9","","","37.8","0.7","25.6","","","",""
"Schmidt, Clarke","657376","16.1","23.0","","","4.8","18.1","","","38.0",""
"Díaz, Edwin","621242","41.9","","","58.1","","","","","",""
"Kuhnel, Joel","669270","24.6","29.9","","30.0","15.4","","","","",""
"Phillips, Evan","623465","18.9","9.9","27.1","","","","","","44.2",""
"Clase, Emmanuel","661403","1.5","0.7","59.7","38.1","","","","","",""
"Houck, Tanner","656557","23.5","29.6","","40.8","","","6.0","","",""
"Stephenson, Robert","596112","47.7","0.1","","50.5","","1.1","0.5","","",""
"Bush, Matt","456713","48.4","0.2","16.2","","","35.2","","","",""
"Festa, Matt","670036","43.3","0.2","","","","","","","56.5",""
"Stanek, Ryne","592773","58.4","","","18.5","","","23.0","","",""
"Rucker, Michael","621074","43.8","0.2","4.4","25.5","8.5","17.6","","","",""
"Tepera, Ryan","572193","31.6","16.7","","37.1","8.8","0.8","","","4.9",""
"Mayers, Mike","594577","45.8","0.9","8.3","34.8","7.5","2.6","","","",""
"Jackson, Zach","667427","54.2","","0.2","44.6","0.9","","","","",""
"Melancon, Mark","453343","1.8","1.2","62.8","1.8","","30.0","2.4","","",""
"García, Rony","665621","44.2","13.1","","","11.0","31.7","","","",""
"Swanson, Erik","657024","54.8","","","19.7","","","25.5","","",""
"Wilson, Steven","621051","52.2","","","10.3","5.6","","","","31.9",""
"Elder, Bryce","693821","18.3","42.7","","26.9","12.0","","","","",""
"Kennedy, Ian","453178","81.4","","2.1","1.7","0.9","4.0","9.8","","",""
"Floro, Dylan","571670","26.7","36.4","","21.9","15.1","","","","",""
"Clarke, Taylor","664199","42.4","","","36.2","21.4","","","","",""
"Marte, Yunior","628708","25.2","36.7","","38.0","0.1","","","","",""
"Martin, Chris","455119","43.1","8.3","31.8","","","3.7","9.2","","3.9",""
"Ober, Bailey","641927","49.1","","","23.7","15.6","11.7","","","",""
"Hoffman, Jeff","656546","48.8","1.5","","23.7","0.4","","25.6","","",""
"Abbott, Cory","676265","50.9","","","26.9","","22.2","","","",""
"De Los Santos, Enyel","660853","60.5","","","28.4","11.1","","","","",""
"Bednar, David","670280","53.7","","","","","29.5","16.9","","",""
"Castillo, Diego","650895","5.4","31.3","","63.3","","","","","",""
"Farmer, Buck","571656","44.6","","","31.4","24.0","","","","",""
"Sawamura, Hirokazu","617228","48.8","","","13.7","","","37.5","","",""
"Ramirez, Noé","598287","37.4","","","","31.1","31.5","","","",""
"Wantz, Andrew","681806","49.1","0.4","16.5","","5.5","","","","28.5",""
"Leone, Dominic","608678","36.7","0.5","27.1","35.7","","","","","",""
"Domínguez, Seranthony","622554","37.5","32.1","1.0","24.7","4.7","","","","",""
"Lambert, Jimmy","669424","44.6","","","33.0","14.2","8.2","","","",""
"Familia, Jeurys","544727","24.4","46.4","","14.8","","","14.4","","",""
"Effross, Scott","664123","10.1","35.0","","0.1","14.7","","","","40.0",""
