"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Webb, Logan","657277","5.5","39.7","2.6","","30.9","","","","21.3",""
"Nola, Aaron","605400","27.7","20.6","9.2","","9.6","32.9","","","",""
"Cease, Dylan","656302","43.5","0.1","0.6","43.0","0.9","7.9","","","4.1",""
"Wheeler, Zack","554430","41.4","19.0","9.6","","","10.1","7.3","","12.5",""
"Lugo, Seth","607625","24.0","18.5","8.5","9.3","6.7","16.1","2.8","","3.6","10.5"
"Peralta, Freddy","642547","53.8","0.1","","21.6","17.5","7.1","","","",""
"Irvin, Jake","663623","37.7","20.7","6.6","0.3","3.4","31.3","","","",""
"Gilbert, Logan","669302","30.8","1.5","10.6","32.0","","11.8","13.4","","",""
"Burnes, Corbin","669203","0.1","7.7","45.0","12.8","11.1","21.5","","","1.9",""
"López, Pablo","641154","40.4","7.7","","","20.1","9.9","","","21.9",""
"Kirby, George","669923","33.9","23.7","0.4","23.7","0.0","8.2","10.1","0.0","",""
"Singer, Brady","663903","11.0","41.6","0.0","40.3","1.8","","","","5.2",""
"Bassitt, Chris","605135","4.4","40.8","19.8","4.4","5.1","13.7","4.5","","7.4",""
"Berríos, José","621244","18.6","33.4","3.5","","16.0","","","","","28.6"
"King, Michael","650633","24.2","27.8","","5.6","24.6","","","","17.8",""
"Fedde, Erick","607200","0.7","30.5","32.3","","16.4","","","","20.2",""
"Severino, Luis","622663","35.7","24.6","8.1","7.0","7.5","","","","17.2",""
"Brown, Hunter","686613","34.8","18.1","16.5","5.6","12.5","12.5","","","",""
"Canning, Griffin","656288","37.3","1.3","","24.1","26.7","10.7","","","",""
"Gausman, Kevin","592332","51.9","6.3","","8.4","","","33.4","","",""
"Castillo, Luis","622491","45.3","18.1","","22.3","14.3","","","","",""
"Bibee, Tanner","676440","43.4","0.4","25.8","","18.0","6.1","","","6.5",""
"Keller, Mitch","656605","30.3","21.8","12.3","9.5","1.0","9.6","","","15.5",""
"Crawford, Kutter","676710","33.7","","32.1","","","7.2","8.6","","18.5",""
"Flexen, Chris","623167","37.1","0.0","26.2","1.3","15.7","12.2","","","7.5",""
"Pfaadt, Brandon","694297","33.3","22.2","","","11.3","5.3","0.6","","27.3",""
"Morton, Charlie","450203","28.6","10.2","7.8","","11.0","42.4","","","",""
"Gibson, Kyle","502043","13.3","26.4","21.1","","9.9","8.6","","","20.6",""
"Blanco, Ronel","669854","38.3","","","30.2","22.1","9.4","","","",""
"Miller, Bryce","682243","42.1","17.3","2.3","8.3","","4.5","17.1","","8.5",""
"Houck, Tanner","656557","0.1","32.1","1.5","","","","24.9","","41.4",""
"Bello, Brayan","678394","4.7","40.3","","0.3","26.9","","","","27.8",""
"Mikolas, Miles","571945","27.9","23.0","","24.3","8.5","12.1","","","4.1",""
"Civale, Aaron","650644","9.7","24.2","32.2","1.5","","15.7","2.0","","14.7",""
"Ober, Bailey","641927","38.1","","","19.4","29.4","1.3","","","11.8",""
"Gil, Luis","661563","48.7","0.0","","25.9","25.3","","","","",""
"Stroman, Marcus","573186","3.0","35.2","18.3","16.0","","2.6","11.1","","","13.9"
"Rea, Colin","607067","19.5","30.9","19.4","","","4.8","8.8","","16.6",""
"Quantrill, Cal","615698","35.9","4.3","13.0","0.6","2.6","11.8","31.9","","",""
"Montas, Frankie","593423","33.0","19.3","18.8","6.3","","","18.3","","4.3",""
"Eovaldi, Nathan","543135","37.4","","15.2","2.9","","13.7","30.8","","",""
"Wacha, Michael","608379","23.3","15.7","11.4","9.2","32.2","8.1","","","",""
"Feltner, Ryan","663372","36.0","13.7","","20.5","14.7","10.1","","","5.0",""
"Flaherty, Jack","656427","44.2","2.3","","29.0","2.7","21.8","","","",""
"Greene, Hunter","668881","55.2","0.0","","34.6","","1.8","8.3","","",""
"Assad, Javier","665871","16.2","35.4","21.6","1.7","4.6","11.6","","","9.0",""
"Gallen, Zac","668678","46.3","0.2","3.1","8.7","14.0","27.7","","","",""
"Arrighetti, Spencer","681293","40.6","0.4","19.6","0.1","8.6","19.9","","","10.8",""
"Littell, Zack","641793","22.3","14.6","","34.8","","","23.2","","5.1",""
"Gray, Sonny","543243","23.8","17.8","17.8","","6.4","13.9","","","20.2",""
"Taillon, Jameson","592791","29.5","11.0","25.1","","4.3","14.7","","","15.5",""
"Spence, Mitch","687765","","14.6","39.6","32.7","1.1","12.1","","","",""
"Waldron, Matt","663362","18.7","14.6","8.7","","","","","38.2","19.8",""
"Eflin, Zach","621107","8.4","28.9","28.2","0.2","6.0","18.8","","","9.4",""
"Nelson, Ryne","669194","55.7","","18.4","8.5","9.9","5.7","","","1.8",""
"Lively, Ben","594902","30.6","29.8","0.1","4.6","9.1","8.6","","","17.2",""
"Pivetta, Nick","601713","48.5","0.1","5.9","3.5","","16.3","","","25.7",""
"Woods Richardson, Simeon","680573","40.3","","","31.2","19.3","9.3","","","",""
"Bradley, Taj","671737","41.7","","22.5","","","8.9","26.9","","",""
"Suárez, Albert","544150","50.0","","19.5","","17.2","13.1","","","","0.2"
"Kremer, Dean","665152","32.2","14.8","23.0","","","11.4","18.5","","",""
"Marsh, Alec","679525","37.0","13.8","","17.9","10.0","16.4","","","4.9",""
"Stone, Gavin","694813","25.7","21.6","5.3","14.8","26.7","4.2","","","1.7",""
"Myers, Tobias","668964","40.5","0.0","22.8","21.1","11.4","4.1","","","",""
"Pepiot, Ryan","686752","50.4","0.2","5.8","17.4","23.5","2.7","","","",""
"Ortiz, Luis L.","682847","26.7","25.9","19.7","26.8","0.9","","","","",""
"Hendricks, Kyle","543294","12.7","35.5","","","38.7","13.1","","","",""
"Skenes, Paul","694973","39.2","","","6.2","5.4","10.8","28.4","","10.0",""
"Martinez, Nick","607259","22.5","17.3","20.5","6.1","21.6","11.9","","","",""
"López, Reynaldo","625643","55.2","","","29.4","3.9","11.6","","","",""
"Ryan, Joe","657746","48.3","6.2","","7.1","","","22.2","","16.2",""
"Lorenzen, Michael","547179","27.0","21.3","10.0","8.7","18.8","7.9","","","6.2",""
"Lynn, Lance","458681","47.3","16.7","22.3","","6.3","6.2","","","1.3",""
"Cannon, Jonathan","686563","12.3","28.0","19.2","","18.7","","","","21.8",""
"Estes, Joey","683155","51.3","3.9","0.7","13.6","11.0","","","","19.5",""
"Glasnow, Tyler","607192","45.2","8.5","","27.7","","18.6","","","",""
"Hicks, Jordan","663855","5.4","51.5","","","","","19.1","","24.1",""
"Maeda, Kenta","628317","22.5","7.2","1.7","22.7","","1.6","31.1","","13.3",""
"Pallante, Andre","669467","50.4","19.8","","17.2","","12.6","","","",""
"Jones, Jared","683003","49.2","0.1","","34.9","6.5","9.3","","","",""
"Schwellenbach, Spencer","680885","28.8","7.0","16.9","19.9","","14.6","12.8","","",""
"Rodriguez, Grayson","680570","47.7","","","15.8","21.0","15.5","","","",""
"Olson, Reese","681857","23.9","20.0","","27.8","22.3","6.0","","","",""
"Mize, Casey","663554","38.2","8.4","0.8","26.0","","7.5","18.2","","","0.8"
"Ureña, José","570632","4.7","42.5","","34.6","18.2","","","","",""
"Criswell, Cooper","681867","","29.7","15.4","1.9","26.1","","","","26.8",""
"Soriano, José","667755","14.6","46.4","","5.5","","25.3","8.1","","",""
"Cabrera, Edward","665795","27.2","9.2","","8.4","33.4","21.8","","","",""
"Woo, Bryan","693433","48.8","23.2","","9.6","9.4","","","","9.1",""
"Carrasco, Carlos","471911","25.3","17.1","","24.3","23.2","6.9","","","3.2",""
"Dunning, Dane","641540","2.7","37.8","18.8","23.4","12.4","4.7","","","",""
"Vásquez, Randy","681190","28.1","16.0","13.8","0.2","12.4","16.4","","","13.1",""
"Wilson, Bryse","669060","14.9","32.1","34.9","","4.3","13.9","","","",""
"Gray, Jon","592351","44.4","","","43.9","7.1","4.6","","","",""
"Musgrove, Joe","605397","24.7","4.2","20.4","0.3","7.8","22.5","","","20.0",""
"Verlander, Justin","434378","48.5","0.1","","19.3","10.1","21.9","","","",""
"Francis, Bowden","670102","51.3","3.0","","9.3","","18.2","18.3","","",""
"Spiers, Carson","686730","29.8","17.6","16.0","0.8","12.1","","","","23.7",""
"Montero, Keider","672456","41.5","7.9","","28.5","10.7","11.5","","","",""
"Cole, Gerrit","543037","45.4","0.9","15.8","15.1","4.0","18.7","","","",""
"Hudson, Dakota","641712","15.6","32.6","0.5","24.3","10.1","17.0","","","",""
"Rodríguez, Yariel","684320","41.0","10.8","","28.2","","10.5","9.5","","",""
"Muñoz, Roddery","682610","27.0","22.7","20.7","20.3","9.3","","","","",""
"Fulmer, Carson","608334","22.7","24.3","","16.3","27.0","6.0","","","3.7",""
"Yamamoto, Yoshinobu","808967","40.5","2.8","6.1","3.2","","23.1","24.2","","0.1",""
"Paddack, Chris","663978","42.9","","","17.7","25.9","13.6","","","",""
"Schmidt, Clarke","657376","0.1","20.9","35.0","","0.6","18.2","","","25.2",""
"Soroka, Michael","647336","32.3","21.4","","32.5","9.8","","","","","4.1"
"Walker, Taijuan","592836","12.5","27.4","9.5","0.8","","10.8","22.1","","16.9",""
"Tonkin, Michael","543859","37.8","17.1","","35.5","","","","","9.6",""
"Avila, Pedro","658648","39.0","12.5","","6.8","22.0","16.1","","","3.7",""
"Birdsong, Hayden","806185","44.6","","","18.3","18.4","18.7","","","",""
"Weaver, Luke","596133","48.3","0.1","22.1","0.4","27.7","1.2","","","",""
"Williams, Gavin","668909","51.5","","12.1","11.2","5.4","19.8","","","",""
"Law, Derek","571882","13.5","9.9","37.6","30.3","5.1","3.6","","","",""
"Megill, Tylor","656731","46.7","9.9","14.2","11.0","1.5","7.7","7.5","","1.5",""
"Stripling, Ross","548389","30.7","13.8","15.9","13.4","17.6","8.6","","","",""
"Ashcraft, Graham","668933","","15.9","48.4","32.0","3.7","","","","",""
"Vodnik, Victor","680767","63.2","0.1","","20.1","16.6","","","","",""
"Buehler, Walker","621111","28.9","16.4","20.9","0.8","5.2","19.2","","","8.7",""
"McKenzie, Triston","663474","52.4","","","21.0","","26.6","","","",""
"Abreu, Bryan","650556","46.3","0.1","","53.1","0.5","","","","",""
"Cecconi, Slade","677944","54.9","","0.1","23.7","12.2","8.9","","","0.2",""
"Darvish, Yu","506433","18.4","17.1","4.6","23.3","5.0","13.7","4.0","","14.0",""
"Winckowski, Josh","670174","5.2","33.7","35.2","13.3","12.6","","","","",""
"Buttó, José","676130","31.4","23.1","","12.9","22.1","","","","10.5",""
"Walker, Ryan","676254","0.6","54.7","","44.8","","","","","",""
"Blackburn, Paul","621112","19.5","13.6","22.0","","18.1","10.2","","","16.6",""
"Robertson, David","502085","","1.4","63.4","6.8","1.7","26.7","","","",""
"Hjelle, Sean","663546","","55.5","10.1","","","34.4","","","",""
"Baz, Shane","669358","47.9","","","21.3","10.3","20.5","","","",""
"Leclerc, José","600917","34.8","7.1","15.6","31.9","10.2","0.4","","","",""
"Scott, Tayler","605463","48.5","5.7","","","","","23.7","","22.1",""
"Ross, Joe","605452","16.2","36.5","","37.3","8.3","1.7","","","",""
"Fernandez, Ryan","681676","40.9","0.6","10.4","48.1","","","","","",""
"Kinley, Tyler","641755","33.2","0.6","","62.9","3.4","","","","",""
"Ginkel, Kevin","656464","52.7","8.9","","38.4","","","","","",""
"Richards, Trevor","670950","45.4","0.9","","0.3","53.3","","","","",""
"Martinez, Justin","679885","11.7","44.9","","21.7","","","21.8","","",""
"Farmer, Buck","571656","20.4","23.8","","34.8","21.0","","","","",""
"Smith, Cade","671922","69.1","","","","","","20.7","","10.2",""
