antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'impact_archetype_Sinker Aces (Elite Sinker Impact)'}),frozenset({'events_single'}),0.029181249075762805,0.43229654458520234,0.014689209838813033,0.5033783783783784,1.1644284107368488,1.0,0.0020742566966806437,1.1431307673658513,0.14545408077204214,0.03287731685789939,0.1252094436191858,0.26867892693149253
"frozenset({'impact_archetype_Four-Seam Aces (Elite FF Impact)', 'Hitter_Types_Hitters With Good Contact'})",frozenset({'events_single'}),0.037560999654951445,0.43229654458520234,0.018681914526544094,0.49737532808398954,1.150541993254264,1.0,0.002444424164542606,1.129477893018475,0.1359508646988673,0.041407188899814276,0.11463517242683824,0.2702954177478101
"frozenset({'Hitter_Types_Hitters With Good Contact', 'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)'})",frozenset({'events_single'}),0.11248582836299108,0.43229654458520234,0.054468378764726176,0.4842243645924627,1.1201208306142862,1.0,0.005841143848600988,1.1006790868789873,0.12083094062609556,0.11108877048356287,0.09146997347289147,0.30511104204537615
frozenset({'Hitter_Types_Hitters With Good Contact'}),frozenset({'events_single'}),0.2118598117020752,0.43229654458520234,0.10252871296889633,0.4839460214053048,1.1194769596635596,1.0,0.010942448433617608,1.1000854154070339,0.13541461196880555,0.1892974153622133,0.09097967667356242,0.3605590996422191
"frozenset({'Hitter_Types_Hitters With Good Contact', 'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)'})",frozenset({'events_single'}),0.03889190121752847,0.43229654458520234,0.017893232119091045,0.4600760456273765,1.064260289354913,1.0,0.0010803976104044634,1.051450766014731,0.06282356571430509,0.03947368421052632,0.048933119531352494,0.250733575835353
frozenset({'impact_archetype_Sinker Liability Pitchers (Sinker Gets Crushed)'}),frozenset({'events_single'}),0.0440676295164391,0.43229654458520234,0.019322718982599695,0.43847874720357943,1.014300837459409,1.0,0.00027243501458220146,1.011009739324361,0.014749167856695658,0.04227782571182054,0.010889844969958857,0.2415882903634773
frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)'}),frozenset({'events_single'}),0.5320155764775472,0.43229654458520234,0.23108394538374327,0.4343556008524043,1.0047630643663314,1.0,0.00109545000699518,1.0036401956252108,0.010129578875395409,0.3151596638655462,0.0036269926623883554,0.4844526008823025
"frozenset({'Hitter_Types_Balanced Hitters', 'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)'})",frozenset({'events_single'}),0.10553556464731109,0.43229654458520234,0.04574357963227683,0.43344231667445116,1.002650430829486,1.0,0.00012091970439600391,1.0020223396892678,0.002955315506029583,0.09295802864870278,0.002018258085837528,0.26962879801795536
"frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_single'}),0.2851579829447429,0.43229654458520234,0.12357667471779958,0.4333621434745031,1.0024649720259116,1.0,0.0003038640299011519,1.0018805642387447,0.003439796235689838,0.20808432934926957,0.0018770343550615796,0.35961151643508504
frozenset({'Hitter_Types_Balanced Hitters'}),frozenset({'events_single'}),0.5385222063390348,0.43229654458520234,0.23226696899492286,0.431304347826087,0.9977048237568789,1.0,-0.0005343199878412308,0.9982553115092009,-0.004960250283926277,0.3144897550557298,-0.001747737748734274,0.48429527539536965
frozenset({'impact_archetype_Four-Seam Aces (Elite FF Impact)'}),frozenset({'events_single'}),0.16601764676886677,0.43229654458520234,0.07122787992310346,0.4290380047505938,0.9924622579675366,1.0,-0.0005409751152443271,0.9942928953910756,-0.009024709573338438,0.13513513513513514,-0.005739862605253427,0.2969021266626401
"frozenset({'impact_archetype_Sinker Liability Pitchers (Sinker Gets Crushed)', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_single'}),0.025040666436634298,0.43229654458520234,0.010597919850150343,0.42322834645669294,0.9790232000646443,1.0,-0.00022707372451731545,0.9842776633130281,-0.02150397842584107,0.02372282908529185,-0.015973477071552496,0.223871869921619
frozenset({'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)'}),frozenset({'events_single'}),0.19357223837925766,0.43229654458520234,0.08162862917139055,0.4216959511077158,0.9754784219067537,1.0,-0.0020519806075856295,0.9816695153738049,-0.030229721658387623,0.1499864142740694,-0.018672765466507722,0.30526074636343603
"frozenset({'impact_archetype_Four-Seam Aces (Elite FF Impact)', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_single'}),0.08690294277123281,0.43229654458520234,0.03662443929610095,0.4214407260351673,0.9748880284008482,1.0,-0.0009434025781885833,0.98123646264342,-0.027436401012154107,0.07589376915219612,-0.01912234009938011,0.2530806822878231
frozenset({'impact_archetype_Slider Aces (Elite Slider Impact)'}),frozenset({'events_single'}),0.035145659782126484,0.43229654458520234,0.014344161285552324,0.40813464235624125,0.9441080375691068,1.0,-0.0008491859954280704,0.9591766912577033,-0.05781017932762517,0.031657963446475194,-0.04256078063027989,0.22065797112110808
"frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)', 'Hitter_Types_Power Hitters'})",frozenset({'events_single'}),0.13437176516981317,0.43229654458520234,0.05303889190121753,0.39471753484959654,0.9130712234314442,1.0,-0.005049557871506946,0.9379149208852963,-0.09908569931196191,0.1032629558541267,-0.06619478774908698,0.2587042634339203
frozenset({'Hitter_Types_Power Hitters'}),frozenset({'events_single'}),0.24961798195888993,0.43229654458520234,0.09750086262138315,0.39060031595576616,0.903547161892204,1.0,-0.010408128445776349,0.9315781912574645,-0.12454231304554941,0.16683535762483132,-0.07344719894116276,0.3080709675559903
"frozenset({'impact_archetype_Four-Seam Aces (Elite FF Impact)', 'Hitter_Types_Power Hitters'})",frozenset({'events_single'}),0.041553704342682504,0.43229654458520234,0.01592152610045842,0.3831553973902728,0.8863253759243404,1.0,-0.0020419967015983427,0.9203346402205278,-0.1180213629860939,0.03476856835306782,-0.08656129661748155,0.2099927500064249
"frozenset({'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)', 'Hitter_Types_Power Hitters'})",frozenset({'events_single'}),0.0491447725144181,0.43229654458520234,0.017991817420022673,0.3660982948846539,0.8468684274030757,1.0,-0.003253297922386097,0.8955701662160652,-0.15978154570791495,0.038821527334609654,-0.11660709313840636,0.20385872554951054
"frozenset({'impact_archetype_Four-Seam Aces (Elite FF Impact)', 'Hitter_Types_Power Hitters'})",frozenset({'events_walk'}),0.041553704342682504,0.23576674717799576,0.010942968403411052,0.2633451957295374,1.116973444650873,1.0,0.0011459866973406417,1.0374374108356677,0.10926388742167399,0.04108068097705404,0.03608642839042347,0.1548797900035937
frozenset({'Hitter_Types_Power Hitters'}),frozenset({'events_walk'}),0.24961798195888993,0.23576674717799576,0.06521417656627397,0.2612559241706161,1.1081118406124375,1.0,0.0063625569226908665,1.0345033927534428,0.1300191275792107,0.15520882214922574,0.033352614399463944,0.2689302828045219
frozenset({'impact_archetype_Sinker Liability Pitchers (Sinker Gets Crushed)'}),frozenset({'events_walk'}),0.0440676295164391,0.23576674717799576,0.011337309607137577,0.2572706935123043,1.0912085635133009,1.0,0.0009476279402016972,1.0289526024440843,0.08743809397832944,0.0422250780246007,0.028137935970337816,0.15267883410718708
"frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)', 'Hitter_Types_Power Hitters'})",frozenset({'events_walk'}),0.13437176516981317,0.23576674717799576,0.0345541479765367,0.2571533382245048,1.0907108033787434,1.0,0.002873753989884341,1.0287900479964365,0.09607667944652037,0.10296709753231494,0.027984376455142495,0.20185703708214578
