antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,ante_len,cons_len
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Poor Changeup Group (Bad CH)'})",frozenset({'outcome_home_run'}),0.018692450770909873,0.04138164266059982,0.0009838131984689408,0.052631578947368425,1.271858137170564,1.0,0.0002102888802162947,1.0118749327471446,0.21782038629634845,0.01664932362122789,0.0117355735998967,0.03820286228200516,2,1
"frozenset({'pitcher_arch_Weak Fastball Group (Bad FF)', 'batter_arch_Selective / Moderate'})",frozenset({'outcome_home_run'}),0.03736952946059367,0.04138164266059982,0.001844649747129264,0.04936240230357877,1.1928574877617792,1.0,0.000298237232596219,1.0083951651631682,0.16795322197736678,0.02398560863481911,0.008325273120294891,0.046969462667391174,2,1
"frozenset({'batter_arch_Selective / Moderate', 'pitcher_arch_Fastball Generalists (Good FF + Good SI)'})",frozenset({'outcome_home_run'}),0.015571918282016203,0.04138164266059982,0.00076860406130386,0.049358341559723594,1.1927593586495908,1.0,0.00012421250341740396,1.0083908577204699,0.1641642723297938,0.013679890560875511,0.008321037082226052,0.03396594641136254,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Sinkers Get Hit (Bad SI)'})",frozenset({'outcome_home_run'}),0.04619310408436198,0.04138164266059982,0.002244323859007271,0.04858569051580699,1.1740880108190164,1.0,0.0003327773324043094,1.0075719355735913,0.15545609408888916,0.026301567285173844,0.007515032233684384,0.05141023010188566,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Weak Breaking Ball Group (Bad SL)'})",frozenset({'outcome_home_run'}),0.05841390865909336,0.04138164266059982,0.0028284629455982047,0.04842105263157895,1.1701094861969188,1.0,0.00041119945105868574,1.007397610035874,0.15439811643653298,0.029169308814204185,0.00734328726034068,0.058385860639712205,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Weak Fastball Group (Bad FF)'})",frozenset({'outcome_home_run'}),0.12262309194041782,0.04138164266059982,0.005918251272039722,0.04826375830512724,1.1663084208853798,1.0,0.000843906299423474,1.00723111650374,0.16252292454899508,0.03743679502139245,0.007179202851516848,0.09564005151511934,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Poor Changeup Group (Bad CH)'})",frozenset({'outcome_double'}),0.018692450770909873,0.04856040459317787,0.001014557360921095,0.05427631578947368,1.1177072399660117,1.0,0.00010684438864765197,1.0060439547953874,0.10731735798703224,0.015316778834996518,0.006007644861418414,0.03758450167441395,2,1
"frozenset({'pitcher_arch_Weak Fastball Group (Bad FF)', 'batter_arch_Selective / Moderate'})",frozenset({'outcome_double'}),0.03736952946059367,0.04856040459317787,0.002013742640616113,0.05388728918140682,1.1096960503697555,1.0,0.0001990631705530042,1.0056302854060803,0.1026898090347488,0.023997069060267447,0.005598762773743138,0.047678054214001925,2,1
"frozenset({'batter_arch_Selective / Moderate', 'pitcher_arch_Four-Seam Aces (Elite FF Quality)'})",frozenset({'outcome_double'}),0.03535578681997756,0.04856040459317787,0.0018907659908074955,0.05347826086956522,1.1012729675048516,1.0,0.00017387467811923966,1.0051957140265002,0.09533039524298323,0.023050974512743627,0.0051688581178761465,0.04620731656963541,2,1
"frozenset({'pitcher_arch_Cutter Aces (Elite FC)', 'batter_arch_Selective / Moderate'})",frozenset({'outcome_single'}),0.004811461423762163,0.14526616758642952,0.00076860406130386,0.15974440894568692,1.0996669878459018,1.0,6.966149978398486e-05,1.0172307587279377,0.09107198022860691,0.005147740142077629,0.016938888821534305,0.0825177071183461,2,1
